year,Teia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,12
1958,5
1959,0
1960,5
1961,8
1962,10
1963,0
1964,7
1965,7
1966,17
1967,8
1968,14
1969,7
1970,19
1971,12
1972,9
1973,14
1974,11
1975,24
1976,21
1977,16
1978,14
1979,23
1980,49
1981,44
1982,34
1983,34
1984,25
1985,22
1986,13
1987,15
1988,15
1989,23
1990,32
1991,24
1992,22
1993,25
1994,24
1995,18
1996,16
1997,19
1998,23
1999,18
2000,19
2001,12
2002,14
2003,17
2004,11
2005,25
2006,12
2007,11
2008,15
2009,11
2010,7
2011,10
2012,10
