year,Timonthy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,7
1954,0
1955,0
1956,21
1957,9
1958,14
1959,17
1960,29
1961,20
1962,30
1963,18
1964,25
1965,42
1966,32
1967,34
1968,26
1969,33
1970,39
1971,21
1972,33
1973,20
1974,19
1975,18
1976,25
1977,22
1978,19
1979,21
1980,18
1981,19
1982,17
1983,16
1984,20
1985,15
1986,17
1987,14
1988,18
1989,10
1990,10
1991,10
1992,5
1993,10
1994,11
1995,12
1996,9
1997,5
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
