year,Tristan (F),Tristan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000002
1947,0.000000,0.000000
1948,0.000000,0.000003
1949,0.000000,0.000001
1950,0.000000,0.000002
1951,0.000000,0.000002
1952,0.000000,0.000003
1953,0.000000,0.000002
1954,0.000000,0.000001
1955,0.000000,0.000002
1956,0.000000,0.000004
1957,0.000000,0.000002
1958,0.000000,0.000001
1959,0.000000,0.000003
1960,0.000000,0.000002
1961,0.000000,0.000003
1962,0.000001,0.000005
1963,0.000001,0.000007
1964,0.000000,0.000004
1965,0.000003,0.000006
1966,0.000002,0.000009
1967,0.000005,0.000009
1968,0.000005,0.000015
1969,0.000004,0.000014
1970,0.000006,0.000017
1971,0.000006,0.000026
1972,0.000009,0.000024
1973,0.000007,0.000024
1974,0.000011,0.000031
1975,0.000013,0.000037
1976,0.000012,0.000036
1977,0.000010,0.000038
1978,0.000012,0.000042
1979,0.000011,0.000051
1980,0.000012,0.000061
1981,0.000027,0.000115
1982,0.000043,0.000217
1983,0.000049,0.000246
1984,0.000047,0.000250
1985,0.000050,0.000297
1986,0.000048,0.000259
1987,0.000039,0.000258
1988,0.000038,0.000217
1989,0.000036,0.000199
1990,0.000035,0.000190
1991,0.000030,0.000186
1992,0.000030,0.000162
1993,0.000029,0.000150
1994,0.000026,0.000132
1995,0.000078,0.000844
1996,0.000106,0.001498
1997,0.000069,0.001157
1998,0.000068,0.001134
1999,0.000053,0.001041
2000,0.000055,0.000935
2001,0.000053,0.000956
2002,0.000070,0.000997
2003,0.000060,0.000956
2004,0.000055,0.000911
2005,0.000048,0.000934
2006,0.000049,0.001368
2007,0.000049,0.001334
2008,0.000040,0.001440
2009,0.000038,0.001403
2010,0.000027,0.001325
2011,0.000030,0.001292
2012,0.000024,0.001211
2013,0.000021,0.001100
