year,Thor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,9
1914,11
1915,13
1916,10
1917,15
1918,12
1919,9
1920,16
1921,11
1922,11
1923,8
1924,13
1925,16
1926,9
1927,5
1928,15
1929,13
1930,8
1931,10
1932,12
1933,5
1934,11
1935,10
1936,6
1937,9
1938,12
1939,8
1940,6
1941,15
1942,14
1943,14
1944,15
1945,11
1946,11
1947,19
1948,14
1949,18
1950,12
1951,13
1952,21
1953,17
1954,14
1955,32
1956,27
1957,20
1958,23
1959,29
1960,41
1961,64
1962,52
1963,50
1964,56
1965,59
1966,66
1967,46
1968,67
1969,65
1970,66
1971,80
1972,64
1973,59
1974,51
1975,45
1976,37
1977,37
1978,46
1979,53
1980,59
1981,40
1982,41
1983,41
1984,45
1985,38
1986,49
1987,55
1988,48
1989,53
1990,56
1991,48
1992,61
1993,45
1994,51
1995,45
1996,48
1997,50
1998,44
1999,49
2000,50
2001,62
2002,57
2003,71
2004,57
2005,75
2006,74
2007,73
2008,103
2009,77
2010,98
2011,106
2012,104
