year,Theresia
1880,0
1881,8
1882,13
1883,6
1884,12
1885,10
1886,6
1887,11
1888,22
1889,18
1890,9
1891,17
1892,13
1893,13
1894,17
1895,12
1896,17
1897,13
1898,18
1899,16
1900,9
1901,14
1902,12
1903,13
1904,20
1905,7
1906,8
1907,9
1908,14
1909,0
1910,9
1911,11
1912,15
1913,16
1914,11
1915,27
1916,32
1917,14
1918,23
1919,16
1920,20
1921,12
1922,15
1923,18
1924,22
1925,10
1926,21
1927,21
1928,20
1929,14
1930,14
1931,14
1932,18
1933,14
1934,14
1935,18
1936,8
1937,7
1938,8
1939,12
1940,10
1941,18
1942,18
1943,13
1944,8
1945,13
1946,17
1947,27
1948,36
1949,36
1950,27
1951,33
1952,31
1953,35
1954,42
1955,34
1956,40
1957,34
1958,41
1959,58
1960,36
1961,45
1962,43
1963,35
1964,45
1965,26
1966,26
1967,24
1968,25
1969,28
1970,22
1971,19
1972,10
1973,14
1974,18
1975,12
1976,11
1977,6
1978,11
1979,10
1980,18
1981,9
1982,10
1983,17
1984,8
1985,7
1986,8
1987,5
1988,11
1989,7
1990,0
1991,6
1992,10
1993,6
1994,0
1995,0
1996,0
1997,0
1998,6
1999,0
2000,7
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
