year,Taunya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,0
1948,7
1949,6
1950,6
1951,0
1952,11
1953,15
1954,11
1955,17
1956,24
1957,18
1958,19
1959,16
1960,24
1961,33
1962,28
1963,22
1964,48
1965,44
1966,56
1967,75
1968,56
1969,72
1970,78
1971,103
1972,96
1973,85
1974,91
1975,77
1976,67
1977,32
1978,37
1979,38
1980,37
1981,29
1982,23
1983,21
1984,12
1985,12
1986,9
1987,0
1988,5
1989,8
1990,0
1991,0
1992,9
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
