year,Tandra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,5
1949,0
1950,0
1951,6
1952,0
1953,11
1954,12
1955,0
1956,6
1957,11
1958,11
1959,19
1960,12
1961,19
1962,29
1963,36
1964,37
1965,29
1966,37
1967,25
1968,36
1969,35
1970,37
1971,55
1972,36
1973,40
1974,49
1975,41
1976,40
1977,43
1978,41
1979,42
1980,39
1981,38
1982,42
1983,43
1984,28
1985,38
1986,27
1987,21
1988,27
1989,28
1990,32
1991,21
1992,21
1993,28
1994,39
1995,16
1996,13
1997,19
1998,13
1999,15
2000,10
2001,0
2002,0
2003,8
2004,0
2005,6
2006,5
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
