year,Toi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,6
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,8
1952,8
1953,0
1954,0
1955,13
1956,9
1957,10
1958,22
1959,14
1960,27
1961,24
1962,29
1963,22
1964,36
1965,48
1966,30
1967,43
1968,36
1969,59
1970,52
1971,40
1972,45
1973,60
1974,61
1975,39
1976,34
1977,41
1978,40
1979,47
1980,36
1981,44
1982,35
1983,27
1984,32
1985,23
1986,37
1987,29
1988,28
1989,31
1990,29
1991,41
1992,39
1993,39
1994,22
1995,22
1996,15
1997,16
1998,11
1999,6
2000,14
2001,7
2002,10
2003,5
2004,8
2005,6
2006,0
2007,5
2008,10
2009,5
2010,0
2011,0
2012,6
