year,Travers
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,6
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,8
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,7
1965,0
1966,0
1967,0
1968,0
1969,6
1970,0
1971,18
1972,11
1973,9
1974,11
1975,15
1976,16
1977,16
1978,11
1979,17
1980,20
1981,13
1982,12
1983,10
1984,14
1985,12
1986,10
1987,7
1988,14
1989,6
1990,11
1991,8
1992,7
1993,9
1994,5
1995,0
1996,5
1997,0
1998,6
1999,0
2000,5
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,0
2010,5
2011,5
2012,5
