year,Tonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,11
1945,11
1946,7
1947,15
1948,14
1949,16
1950,9
1951,16
1952,20
1953,18
1954,11
1955,17
1956,15
1957,23
1958,21
1959,18
1960,20
1961,22
1962,21
1963,31
1964,22
1965,22
1966,33
1967,23
1968,18
1969,19
1970,22
1971,26
1972,15
1973,16
1974,11
1975,18
1976,15
1977,14
1978,8
1979,18
1980,5
1981,8
1982,14
1983,8
1984,10
1985,7
1986,7
1987,5
1988,6
1989,7
1990,6
1991,8
1992,0
1993,0
1994,15
1995,5
1996,6
1997,7
1998,5
1999,8
2000,8
2001,0
2002,0
2003,0
2004,7
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
