year,Tish
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,0
1946,8
1947,7
1948,8
1949,9
1950,13
1951,11
1952,10
1953,10
1954,9
1955,16
1956,12
1957,20
1958,16
1959,25
1960,33
1961,37
1962,23
1963,31
1964,26
1965,18
1966,29
1967,25
1968,21
1969,33
1970,25
1971,63
1972,27
1973,25
1974,34
1975,25
1976,24
1977,31
1978,16
1979,12
1980,7
1981,11
1982,10
1983,10
1984,11
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
