year,Tabetha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,5
1966,65
1967,85
1968,94
1969,98
1970,90
1971,79
1972,85
1973,78
1974,86
1975,104
1976,100
1977,110
1978,103
1979,113
1980,112
1981,131
1982,152
1983,180
1984,204
1985,193
1986,172
1987,145
1988,162
1989,121
1990,112
1991,115
1992,87
1993,60
1994,84
1995,71
1996,71
1997,64
1998,52
1999,44
2000,39
2001,38
2002,29
2003,28
2004,20
2005,24
2006,21
2007,19
2008,12
2009,15
2010,17
2011,11
2012,0
