year,Tobias (F),Tobias (M)
1880,0.000000,0.000035
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000033
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000035
1890,0.000000,0.000023
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000014
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000023
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000019
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000014
1911,0.000000,0.000008
1912,0.000000,0.000011
1913,0.000000,0.000006
1914,0.000000,0.000008
1915,0.000000,0.000009
1916,0.000000,0.000010
1917,0.000000,0.000013
1918,0.000000,0.000011
1919,0.000000,0.000008
1920,0.000000,0.000009
1921,0.000000,0.000010
1922,0.000000,0.000007
1923,0.000000,0.000007
1924,0.000000,0.000008
1925,0.000000,0.000005
1926,0.000000,0.000006
1927,0.000000,0.000008
1928,0.000000,0.000004
1929,0.000000,0.000004
1930,0.000000,0.000004
1931,0.000000,0.000004
1932,0.000000,0.000005
1933,0.000000,0.000007
1934,0.000000,0.000011
1935,0.000000,0.000004
1936,0.000000,0.000004
1937,0.000000,0.000003
1938,0.000000,0.000003
1939,0.000000,0.000006
1940,0.000000,0.000008
1941,0.000000,0.000008
1942,0.000000,0.000007
1943,0.000000,0.000006
1944,0.000000,0.000006
1945,0.000000,0.000005
1946,0.000000,0.000005
1947,0.000000,0.000003
1948,0.000000,0.000003
1949,0.000000,0.000007
1950,0.000000,0.000008
1951,0.000000,0.000007
1952,0.000000,0.000007
1953,0.000000,0.000004
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000007
1959,0.000000,0.000009
1960,0.000000,0.000011
1961,0.000000,0.000012
1962,0.000000,0.000010
1963,0.000000,0.000014
1964,0.000000,0.000012
1965,0.000000,0.000019
1966,0.000000,0.000015
1967,0.000000,0.000016
1968,0.000000,0.000017
1969,0.000000,0.000029
1970,0.000000,0.000039
1971,0.000000,0.000036
1972,0.000000,0.000045
1973,0.000000,0.000049
1974,0.000000,0.000070
1975,0.000000,0.000079
1976,0.000000,0.000091
1977,0.000000,0.000081
1978,0.000000,0.000089
1979,0.000000,0.000084
1980,0.000000,0.000071
1981,0.000000,0.000060
1982,0.000000,0.000055
1983,0.000000,0.000044
1984,0.000000,0.000041
1985,0.000000,0.000042
1986,0.000000,0.000048
1987,0.000000,0.000042
1988,0.000000,0.000050
1989,0.000000,0.000050
1990,0.000000,0.000050
1991,0.000000,0.000049
1992,0.000000,0.000042
1993,0.000000,0.000052
1994,0.000000,0.000050
1995,0.000000,0.000060
1996,0.000000,0.000055
1997,0.000000,0.000072
1998,0.000000,0.000086
1999,0.000000,0.000088
2000,0.000000,0.000089
2001,0.000000,0.000097
2002,0.000000,0.000114
2003,0.000000,0.000129
2004,0.000000,0.000128
2005,0.000000,0.000134
2006,0.000000,0.000139
2007,0.000000,0.000143
2008,0.000000,0.000129
2009,0.000000,0.000140
2010,0.000000,0.000134
2011,0.000000,0.000130
2012,0.000000,0.000140
2013,0.000000,0.000153
