year,Ted (F),Ted (M)
1880,0.000000,0.000065
1881,0.000000,0.000036
1882,0.000000,0.000063
1883,0.000000,0.000060
1884,0.000000,0.000041
1885,0.000000,0.000042
1886,0.000000,0.000039
1887,0.000000,0.000081
1888,0.000000,0.000070
1889,0.000000,0.000087
1890,0.000000,0.000066
1891,0.000000,0.000077
1892,0.000000,0.000045
1893,0.000000,0.000037
1894,0.000000,0.000068
1895,0.000000,0.000068
1896,0.000000,0.000084
1897,0.000000,0.000081
1898,0.000000,0.000102
1899,0.000000,0.000100
1900,0.000000,0.000167
1901,0.000000,0.000185
1902,0.000000,0.000225
1903,0.000000,0.000186
1904,0.000000,0.000233
1905,0.000012,0.000271
1906,0.000000,0.000208
1907,0.000000,0.000241
1908,0.000000,0.000231
1909,0.000000,0.000239
1910,0.000000,0.000215
1911,0.000000,0.000151
1912,0.000000,0.000247
1913,0.000000,0.000217
1914,0.000000,0.000218
1915,0.000000,0.000220
1916,0.000005,0.000234
1917,0.000005,0.000248
1918,0.000004,0.000260
1919,0.000005,0.000271
1920,0.000003,0.000241
1921,0.000004,0.000263
1922,0.000002,0.000264
1923,0.000003,0.000257
1924,0.000005,0.000257
1925,0.000000,0.000287
1926,0.000006,0.000333
1927,0.000004,0.000329
1928,0.000005,0.000366
1929,0.000005,0.000388
1930,0.000003,0.000441
1931,0.000003,0.000467
1932,0.000004,0.000506
1933,0.000005,0.000520
1934,0.000000,0.000507
1935,0.000003,0.000518
1936,0.000003,0.000513
1937,0.000000,0.000498
1938,0.000000,0.000502
1939,0.000003,0.000490
1940,0.000000,0.000455
1941,0.000000,0.000450
1942,0.000002,0.000458
1943,0.000002,0.000438
1944,0.000003,0.000433
1945,0.000000,0.000466
1946,0.000000,0.000467
1947,0.000000,0.000458
1948,0.000000,0.000427
1949,0.000001,0.000395
1950,0.000000,0.000387
1951,0.000001,0.000377
1952,0.000000,0.000372
1953,0.000000,0.000339
1954,0.000001,0.000337
1955,0.000000,0.000351
1956,0.000001,0.000354
1957,0.000000,0.000389
1958,0.000001,0.000421
1959,0.000000,0.000403
1960,0.000000,0.000408
1961,0.000001,0.000406
1962,0.000000,0.000422
1963,0.000001,0.000399
1964,0.000000,0.000388
1965,0.000000,0.000343
1966,0.000000,0.000309
1967,0.000003,0.000280
1968,0.000000,0.000311
1969,0.000001,0.000304
1970,0.000000,0.000262
1971,0.000002,0.000233
1972,0.000002,0.000212
1973,0.000000,0.000181
1974,0.000000,0.000158
1975,0.000000,0.000151
1976,0.000000,0.000142
1977,0.000000,0.000132
1978,0.000000,0.000113
1979,0.000000,0.000106
1980,0.000002,0.000106
1981,0.000000,0.000098
1982,0.000000,0.000090
1983,0.000000,0.000086
1984,0.000000,0.000083
1985,0.000000,0.000074
1986,0.000000,0.000083
1987,0.000000,0.000078
1988,0.000000,0.000079
1989,0.000000,0.000070
1990,0.000000,0.000063
1991,0.000000,0.000045
1992,0.000000,0.000049
1993,0.000000,0.000047
1994,0.000000,0.000044
1995,0.000000,0.000041
1996,0.000000,0.000037
1997,0.000000,0.000035
1998,0.000000,0.000029
1999,0.000000,0.000030
2000,0.000000,0.000026
2001,0.000000,0.000026
2002,0.000000,0.000027
2003,0.000000,0.000019
2004,0.000000,0.000019
2005,0.000000,0.000020
2006,0.000000,0.000015
2007,0.000000,0.000015
2008,0.000000,0.000019
2009,0.000000,0.000014
2010,0.000000,0.000022
2011,0.000000,0.000018
2012,0.000000,0.000018
2013,0.000000,0.000020
