year,Tilmon
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,0
1913,8
1914,8
1915,15
1916,12
1917,9
1918,19
1919,8
1920,21
1921,11
1922,11
1923,15
1924,13
1925,19
1926,17
1927,12
1928,13
1929,12
1930,13
1931,16
1932,8
1933,8
1934,8
1935,8
1936,11
1937,9
1938,10
1939,17
1940,16
1941,9
1942,8
1943,10
1944,5
1945,8
1946,13
1947,8
1948,5
1949,12
1950,15
1951,7
1952,7
1953,5
1954,7
1955,5
1956,9
1957,7
1958,0
1959,0
1960,0
1961,0
1962,0
1963,5
1964,0
1965,5
1966,0
1967,7
1968,5
1969,0
1970,5
1971,0
1972,6
1973,0
1974,0
1975,5
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
