year,Tyson (F),Tyson (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000008
1914,0.000000,0.000004
1915,0.000000,0.000005
1916,0.000000,0.000007
1917,0.000000,0.000003
1918,0.000000,0.000004
1919,0.000000,0.000004
1920,0.000000,0.000005
1921,0.000000,0.000004
1922,0.000000,0.000006
1923,0.000000,0.000003
1924,0.000000,0.000003
1925,0.000000,0.000005
1926,0.000000,0.000005
1927,0.000000,0.000005
1928,0.000000,0.000003
1929,0.000000,0.000000
1930,0.000000,0.000005
1931,0.000000,0.000000
1932,0.000000,0.000002
1933,0.000000,0.000003
1934,0.000000,0.000003
1935,0.000000,0.000004
1936,0.000000,0.000003
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000003
1940,0.000000,0.000005
1941,0.000000,0.000004
1942,0.000000,0.000000
1943,0.000000,0.000004
1944,0.000000,0.000004
1945,0.000000,0.000003
1946,0.000000,0.000004
1947,0.000000,0.000006
1948,0.000000,0.000002
1949,0.000000,0.000005
1950,0.000000,0.000005
1951,0.000000,0.000003
1952,0.000000,0.000003
1953,0.000000,0.000004
1954,0.000000,0.000005
1955,0.000000,0.000006
1956,0.000000,0.000005
1957,0.000000,0.000005
1958,0.000000,0.000003
1959,0.000000,0.000005
1960,0.000000,0.000008
1961,0.000000,0.000006
1962,0.000000,0.000011
1963,0.000000,0.000011
1964,0.000000,0.000012
1965,0.000000,0.000013
1966,0.000000,0.000017
1967,0.000000,0.000023
1968,0.000000,0.000025
1969,0.000000,0.000031
1970,0.000000,0.000048
1971,0.000000,0.000070
1972,0.000000,0.000086
1973,0.000002,0.000146
1974,0.000005,0.000193
1975,0.000006,0.000211
1976,0.000004,0.000223
1977,0.000004,0.000238
1978,0.000004,0.000257
1979,0.000005,0.000241
1980,0.000005,0.000265
1981,0.000004,0.000262
1982,0.000004,0.000245
1983,0.000003,0.000240
1984,0.000003,0.000265
1985,0.000003,0.000262
1986,0.000004,0.000270
1987,0.000002,0.000260
1988,0.000004,0.000254
1989,0.000000,0.000174
1990,0.000000,0.000144
1991,0.000001,0.000119
1992,0.000000,0.000095
1993,0.000000,0.000111
1994,0.000000,0.000109
1995,0.000001,0.000127
1996,0.000000,0.000138
1997,0.000002,0.000153
1998,0.000002,0.000178
1999,0.000002,0.000199
2000,0.000003,0.000216
2001,0.000002,0.000222
2002,0.000000,0.000249
2003,0.000000,0.000273
2004,0.000004,0.000292
2005,0.000000,0.000322
2006,0.000000,0.000315
2007,0.000000,0.000318
2008,0.000002,0.000356
2009,0.000000,0.000391
2010,0.000002,0.000398
2011,0.000001,0.000378
2012,0.000001,0.000370
2013,0.000003,0.000362
2014,0.000001,0.000345
2015,0.000000,0.000306
2016,0.000000,0.000285
2017,0.000000,0.000297
2018,0.000001,0.000262
2019,0.000000,0.000269
2020,0.000000,0.000249
