year,Therman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,6
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,10
1913,14
1914,23
1915,40
1916,41
1917,34
1918,37
1919,49
1920,41
1921,37
1922,47
1923,37
1924,49
1925,32
1926,46
1927,30
1928,31
1929,42
1930,32
1931,35
1932,33
1933,20
1934,30
1935,31
1936,31
1937,28
1938,29
1939,33
1940,36
1941,37
1942,38
1943,34
1944,32
1945,19
1946,34
1947,27
1948,34
1949,28
1950,36
1951,27
1952,20
1953,19
1954,21
1955,18
1956,25
1957,23
1958,15
1959,19
1960,19
1961,19
1962,16
1963,29
1964,14
1965,12
1966,19
1967,18
1968,13
1969,13
1970,15
1971,11
1972,12
1973,11
1974,6
1975,6
1976,12
1977,14
1978,11
1979,10
1980,14
1981,5
1982,9
1983,10
1984,0
1985,0
1986,11
1987,6
1988,0
1989,7
1990,5
1991,8
1992,6
1993,6
1994,5
1995,0
1996,5
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
