year,Thresa
1880,0
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,6
1888,9
1889,7
1890,8
1891,7
1892,9
1893,7
1894,7
1895,9
1896,0
1897,0
1898,8
1899,11
1900,11
1901,12
1902,0
1903,12
1904,8
1905,8
1906,11
1907,10
1908,16
1909,0
1910,10
1911,7
1912,13
1913,14
1914,28
1915,27
1916,23
1917,28
1918,32
1919,28
1920,38
1921,21
1922,27
1923,30
1924,24
1925,26
1926,21
1927,33
1928,26
1929,27
1930,30
1931,23
1932,19
1933,19
1934,15
1935,16
1936,14
1937,23
1938,17
1939,28
1940,11
1941,15
1942,13
1943,24
1944,14
1945,13
1946,24
1947,19
1948,24
1949,33
1950,28
1951,25
1952,36
1953,44
1954,49
1955,43
1956,49
1957,44
1958,54
1959,62
1960,60
1961,54
1962,56
1963,60
1964,76
1965,51
1966,59
1967,32
1968,50
1969,43
1970,39
1971,36
1972,26
1973,24
1974,24
1975,21
1976,17
1977,16
1978,14
1979,13
1980,11
1981,9
1982,10
1983,12
1984,0
1985,0
1986,7
1987,0
1988,0
1989,10
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
