year,Tempie
1880,5
1881,7
1882,14
1883,7
1884,18
1885,13
1886,9
1887,10
1888,15
1889,6
1890,17
1891,17
1892,18
1893,11
1894,15
1895,19
1896,18
1897,15
1898,23
1899,19
1900,22
1901,16
1902,18
1903,18
1904,14
1905,15
1906,19
1907,19
1908,13
1909,14
1910,22
1911,19
1912,26
1913,35
1914,29
1915,32
1916,30
1917,20
1918,39
1919,35
1920,32
1921,32
1922,35
1923,28
1924,33
1925,16
1926,39
1927,20
1928,20
1929,13
1930,21
1931,19
1932,17
1933,15
1934,14
1935,30
1936,22
1937,19
1938,29
1939,11
1940,21
1941,14
1942,10
1943,15
1944,17
1945,13
1946,18
1947,15
1948,17
1949,19
1950,17
1951,22
1952,10
1953,20
1954,14
1955,19
1956,10
1957,17
1958,13
1959,11
1960,14
1961,15
1962,11
1963,11
1964,10
1965,11
1966,8
1967,8
1968,0
1969,7
1970,8
1971,10
1972,5
1973,7
1974,0
1975,5
1976,9
1977,0
1978,5
1979,5
1980,0
1981,7
1982,0
1983,0
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
