year,Todd (F),Todd (M)
1880,0.000000,0.000000
1881,0.000000,0.000042
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000012
1912,0.000000,0.000000
1913,0.000000,0.000010
1914,0.000000,0.000007
1915,0.000000,0.000010
1916,0.000000,0.000010
1917,0.000000,0.000010
1918,0.000000,0.000007
1919,0.000000,0.000004
1920,0.000000,0.000011
1921,0.000000,0.000012
1922,0.000000,0.000007
1923,0.000000,0.000010
1924,0.000000,0.000014
1925,0.000000,0.000009
1926,0.000000,0.000009
1927,0.000000,0.000005
1928,0.000000,0.000007
1929,0.000000,0.000016
1930,0.000000,0.000013
1931,0.000000,0.000009
1932,0.000000,0.000013
1933,0.000000,0.000014
1934,0.000000,0.000015
1935,0.000000,0.000018
1936,0.000000,0.000020
1937,0.000000,0.000024
1938,0.000000,0.000031
1939,0.000000,0.000031
1940,0.000000,0.000038
1941,0.000000,0.000041
1942,0.000000,0.000049
1943,0.000000,0.000057
1944,0.000000,0.000065
1945,0.000000,0.000061
1946,0.000000,0.000074
1947,0.000000,0.000084
1948,0.000000,0.000101
1949,0.000000,0.000132
1950,0.000000,0.000170
1951,0.000000,0.000216
1952,0.000000,0.000253
1953,0.000001,0.000285
1954,0.000000,0.000324
1955,0.000002,0.000402
1956,0.000001,0.000488
1957,0.000002,0.000573
1958,0.000003,0.000837
1959,0.000003,0.001043
1960,0.000004,0.001383
1961,0.000007,0.002356
1962,0.000008,0.003158
1963,0.000008,0.003738
1964,0.000012,0.003950
1965,0.000012,0.003845
1966,0.000013,0.003900
1967,0.000014,0.003962
1968,0.000019,0.004340
1969,0.000016,0.004246
1970,0.000013,0.003999
1971,0.000012,0.003516
1972,0.000017,0.003177
1973,0.000018,0.002877
1974,0.000013,0.002583
1975,0.000011,0.002370
1976,0.000012,0.002123
1977,0.000008,0.001976
1978,0.000009,0.001734
1979,0.000008,0.001499
1980,0.000007,0.001199
1981,0.000008,0.001143
1982,0.000009,0.001026
1983,0.000006,0.000963
1984,0.000004,0.000891
1985,0.000005,0.000824
1986,0.000003,0.000728
1987,0.000005,0.000653
1988,0.000005,0.000596
1989,0.000003,0.000553
1990,0.000002,0.000500
1991,0.000000,0.000448
1992,0.000000,0.000371
1993,0.000000,0.000329
1994,0.000001,0.000307
1995,0.000000,0.000281
1996,0.000000,0.000244
1997,0.000000,0.000232
1998,0.000001,0.000191
1999,0.000000,0.000170
2000,0.000000,0.000154
2001,0.000000,0.000142
2002,0.000000,0.000136
2003,0.000000,0.000122
2004,0.000000,0.000115
2005,0.000000,0.000102
2006,0.000000,0.000089
2007,0.000000,0.000081
2008,0.000000,0.000073
2009,0.000000,0.000061
2010,0.000000,0.000071
2011,0.000000,0.000066
2012,0.000000,0.000064
2013,0.000000,0.000057
