year,Taft
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,16
1908,62
1909,52
1910,45
1911,23
1912,22
1913,22
1914,21
1915,17
1916,14
1917,11
1918,5
1919,12
1920,6
1921,0
1922,5
1923,7
1924,0
1925,7
1926,8
1927,8
1928,13
1929,20
1930,17
1931,12
1932,22
1933,11
1934,21
1935,14
1936,13
1937,18
1938,19
1939,8
1940,15
1941,21
1942,12
1943,16
1944,12
1945,17
1946,9
1947,16
1948,12
1949,22
1950,10
1951,7
1952,12
1953,16
1954,16
1955,14
1956,15
1957,16
1958,16
1959,9
1960,15
1961,13
1962,14
1963,11
1964,15
1965,12
1966,8
1967,12
1968,17
1969,9
1970,8
1971,17
1972,12
1973,15
1974,0
1975,16
1976,6
1977,9
1978,0
1979,10
1980,5
1981,6
1982,8
1983,7
1984,12
1985,7
1986,10
1987,11
1988,12
1989,11
1990,12
1991,11
1992,10
1993,9
1994,9
1995,6
1996,6
1997,7
1998,5
1999,0
2000,10
2001,9
2002,12
2003,10
2004,0
2005,12
2006,5
2007,8
2008,9
2009,18
2010,19
2011,9
2012,12
