year,Tereza
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,5
1930,5
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,6
1954,5
1955,0
1956,9
1957,6
1958,6
1959,0
1960,0
1961,11
1962,19
1963,8
1964,9
1965,13
1966,8
1967,9
1968,7
1969,5
1970,7
1971,16
1972,12
1973,9
1974,12
1975,18
1976,8
1977,14
1978,13
1979,5
1980,7
1981,9
1982,0
1983,5
1984,14
1985,13
1986,12
1987,19
1988,9
1989,14
1990,8
1991,12
1992,15
1993,14
1994,15
1995,13
1996,22
1997,15
1998,10
1999,11
2000,19
2001,22
2002,18
2003,9
2004,10
2005,14
2006,12
2007,20
2008,14
2009,10
2010,10
2011,10
2012,11
