year,Toniann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,6
1947,6
1948,8
1949,0
1950,5
1951,5
1952,5
1953,7
1954,7
1955,5
1956,12
1957,13
1958,11
1959,11
1960,19
1961,25
1962,24
1963,39
1964,22
1965,16
1966,25
1967,18
1968,16
1969,22
1970,20
1971,25
1972,23
1973,15
1974,19
1975,17
1976,22
1977,22
1978,28
1979,18
1980,25
1981,24
1982,28
1983,29
1984,25
1985,30
1986,36
1987,36
1988,23
1989,39
1990,30
1991,38
1992,36
1993,35
1994,26
1995,45
1996,32
1997,32
1998,19
1999,25
2000,24
2001,18
2002,15
2003,14
2004,13
2005,14
2006,13
2007,0
2008,7
2009,6
2010,9
2011,0
2012,0
