year,Toni (F),Toni (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000017,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000015,0.000000
1911,0.000014,0.000000
1912,0.000008,0.000000
1913,0.000008,0.000000
1914,0.000012,0.000000
1915,0.000010,0.000000
1916,0.000011,0.000003
1917,0.000014,0.000003
1918,0.000013,0.000000
1919,0.000018,0.000000
1920,0.000019,0.000000
1921,0.000022,0.000000
1922,0.000024,0.000000
1923,0.000028,0.000000
1924,0.000027,0.000002
1925,0.000030,0.000000
1926,0.000035,0.000000
1927,0.000028,0.000003
1928,0.000029,0.000003
1929,0.000034,0.000000
1930,0.000039,0.000003
1931,0.000032,0.000000
1932,0.000047,0.000003
1933,0.000045,0.000000
1934,0.000054,0.000004
1935,0.000068,0.000003
1936,0.000070,0.000002
1937,0.000102,0.000004
1938,0.000110,0.000004
1939,0.000136,0.000003
1940,0.000129,0.000003
1941,0.000163,0.000004
1942,0.000198,0.000005
1943,0.000247,0.000002
1944,0.000284,0.000003
1945,0.000357,0.000003
1946,0.000434,0.000002
1947,0.000517,0.000004
1948,0.000464,0.000000
1949,0.000403,0.000003
1950,0.000366,0.000002
1951,0.000403,0.000002
1952,0.000496,0.000002
1953,0.000524,0.000003
1954,0.000577,0.000003
1955,0.000580,0.000004
1956,0.000608,0.000002
1957,0.000570,0.000004
1958,0.000577,0.000006
1959,0.000657,0.000003
1960,0.000698,0.000008
1961,0.000699,0.000007
1962,0.000695,0.000005
1963,0.000662,0.000006
1964,0.000657,0.000004
1965,0.000642,0.000005
1966,0.000647,0.000009
1967,0.000661,0.000009
1968,0.000649,0.000009
1969,0.000592,0.000007
1970,0.000600,0.000008
1971,0.000581,0.000008
1972,0.000507,0.000010
1973,0.000463,0.000006
1974,0.000478,0.000011
1975,0.000481,0.000012
1976,0.000461,0.000010
1977,0.000500,0.000011
1978,0.000459,0.000007
1979,0.000420,0.000004
1980,0.000421,0.000007
1981,0.000390,0.000006
1982,0.000391,0.000005
1983,0.000336,0.000005
1984,0.000310,0.000005
1985,0.000317,0.000006
1986,0.000302,0.000007
1987,0.000337,0.000006
1988,0.000303,0.000006
1989,0.000274,0.000008
1990,0.000254,0.000007
1991,0.000261,0.000007
1992,0.000228,0.000005
1993,0.000244,0.000007
1994,0.000261,0.000006
1995,0.000225,0.000007
1996,0.000223,0.000005
1997,0.000200,0.000006
1998,0.000173,0.000004
1999,0.000141,0.000005
2000,0.000126,0.000004
2001,0.000115,0.000004
2002,0.000104,0.000004
2003,0.000093,0.000005
2004,0.000091,0.000005
2005,0.000081,0.000003
2006,0.000084,0.000005
2007,0.000073,0.000002
2008,0.000064,0.000004
2009,0.000054,0.000002
2010,0.000048,0.000002
2011,0.000044,0.000004
2012,0.000048,0.000002
2013,0.000046,0.000002
2014,0.000041,0.000002
2015,0.000048,0.000003
2016,0.000044,0.000003
2017,0.000040,0.000003
2018,0.000033,0.000004
2019,0.000040,0.000002
2020,0.000038,0.000002
