year,Tawnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,5
1959,0
1960,8
1961,14
1962,13
1963,14
1964,12
1965,12
1966,13
1967,9
1968,9
1969,17
1970,8
1971,9
1972,9
1973,9
1974,13
1975,15
1976,10
1977,15
1978,18
1979,19
1980,23
1981,15
1982,22
1983,21
1984,19
1985,31
1986,24
1987,26
1988,45
1989,36
1990,38
1991,43
1992,36
1993,37
1994,36
1995,14
1996,21
1997,13
1998,13
1999,10
2000,12
2001,17
2002,15
2003,11
2004,8
2005,8
2006,9
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
