year,Terresa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,6
1945,6
1946,7
1947,12
1948,22
1949,20
1950,19
1951,27
1952,30
1953,31
1954,42
1955,35
1956,57
1957,62
1958,53
1959,51
1960,72
1961,71
1962,73
1963,63
1964,69
1965,49
1966,58
1967,50
1968,55
1969,54
1970,57
1971,47
1972,32
1973,33
1974,28
1975,17
1976,25
1977,13
1978,19
1979,24
1980,14
1981,17
1982,14
1983,14
1984,13
1985,12
1986,10
1987,12
1988,15
1989,8
1990,0
1991,6
1992,10
1993,6
1994,5
1995,6
1996,11
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
