year,Terence (F),Terence (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000037
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000030
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000000
1906,0.000000,0.000019
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000019
1913,0.000000,0.000009
1914,0.000000,0.000013
1915,0.000000,0.000011
1916,0.000000,0.000011
1917,0.000000,0.000013
1918,0.000000,0.000010
1919,0.000000,0.000012
1920,0.000000,0.000020
1921,0.000000,0.000029
1922,0.000000,0.000018
1923,0.000000,0.000017
1924,0.000000,0.000016
1925,0.000000,0.000012
1926,0.000000,0.000014
1927,0.000000,0.000017
1928,0.000000,0.000015
1929,0.000000,0.000023
1930,0.000000,0.000020
1931,0.000000,0.000023
1932,0.000000,0.000035
1933,0.000000,0.000032
1934,0.000000,0.000032
1935,0.000000,0.000046
1936,0.000000,0.000052
1937,0.000000,0.000056
1938,0.000000,0.000057
1939,0.000000,0.000054
1940,0.000000,0.000059
1941,0.000000,0.000070
1942,0.000000,0.000074
1943,0.000000,0.000094
1944,0.000000,0.000079
1945,0.000000,0.000092
1946,0.000000,0.000109
1947,0.000001,0.000121
1948,0.000000,0.000117
1949,0.000000,0.000111
1950,0.000000,0.000127
1951,0.000000,0.000110
1952,0.000000,0.000116
1953,0.000000,0.000124
1954,0.000000,0.000166
1955,0.000001,0.000191
1956,0.000000,0.000215
1957,0.000000,0.000189
1958,0.000000,0.000172
1959,0.000001,0.000178
1960,0.000000,0.000182
1961,0.000001,0.000176
1962,0.000002,0.000185
1963,0.000002,0.000204
1964,0.000003,0.000261
1965,0.000000,0.000212
1966,0.000003,0.000232
1967,0.000002,0.000226
1968,0.000002,0.000233
1969,0.000001,0.000179
1970,0.000002,0.000165
1971,0.000002,0.000157
1972,0.000003,0.000168
1973,0.000000,0.000166
1974,0.000002,0.000160
1975,0.000003,0.000160
1976,0.000000,0.000139
1977,0.000000,0.000134
1978,0.000003,0.000128
1979,0.000000,0.000114
1980,0.000000,0.000115
1981,0.000000,0.000119
1982,0.000002,0.000137
1983,0.000000,0.000151
1984,0.000002,0.000157
1985,0.000003,0.000154
1986,0.000002,0.000142
1987,0.000002,0.000133
1988,0.000002,0.000161
1989,0.000002,0.000149
1990,0.000000,0.000122
1991,0.000000,0.000109
1992,0.000000,0.000114
1993,0.000000,0.000095
1994,0.000000,0.000092
1995,0.000000,0.000079
1996,0.000000,0.000068
1997,0.000000,0.000047
1998,0.000000,0.000055
1999,0.000000,0.000060
2000,0.000000,0.000053
2001,0.000000,0.000044
2002,0.000000,0.000040
2003,0.000000,0.000047
2004,0.000000,0.000036
2005,0.000000,0.000032
2006,0.000000,0.000035
2007,0.000000,0.000037
2008,0.000000,0.000033
2009,0.000000,0.000034
2010,0.000000,0.000039
2011,0.000000,0.000035
2012,0.000000,0.000037
2013,0.000000,0.000032
