year,Tillman (F),Tillman (M)
1880,0.000000,0.000045
1881,0.000000,0.000000
1882,0.000000,0.000041
1883,0.000000,0.000000
1884,0.000000,0.000041
1885,0.000000,0.000037
1886,0.000000,0.000047
1887,0.000000,0.000028
1888,0.000000,0.000027
1889,0.000000,0.000035
1890,0.000000,0.000027
1891,0.000000,0.000066
1892,0.000000,0.000033
1893,0.000000,0.000037
1894,0.000000,0.000050
1895,0.000000,0.000034
1896,0.000000,0.000036
1897,0.000000,0.000049
1898,0.000000,0.000029
1899,0.000000,0.000032
1900,0.000000,0.000040
1901,0.000000,0.000023
1902,0.000000,0.000028
1903,0.000000,0.000018
1904,0.000000,0.000040
1905,0.000000,0.000017
1906,0.000000,0.000021
1907,0.000000,0.000039
1908,0.000000,0.000031
1909,0.000000,0.000039
1910,0.000000,0.000034
1911,0.000000,0.000020
1912,0.000000,0.000034
1913,0.000000,0.000021
1914,0.000000,0.000031
1915,0.000000,0.000031
1916,0.000000,0.000027
1917,0.000000,0.000037
1918,0.000000,0.000029
1919,0.000000,0.000034
1920,0.000000,0.000028
1921,0.000000,0.000023
1922,0.000000,0.000025
1923,0.000000,0.000026
1924,0.000000,0.000021
1925,0.000000,0.000021
1926,0.000000,0.000023
1927,0.000000,0.000024
1928,0.000000,0.000019
1929,0.000000,0.000014
1930,0.000000,0.000018
1931,0.000000,0.000020
1932,0.000000,0.000017
1933,0.000000,0.000019
1934,0.000000,0.000022
1935,0.000000,0.000017
1936,0.000000,0.000017
1937,0.000000,0.000023
1938,0.000000,0.000016
1939,0.000000,0.000015
1940,0.000000,0.000019
1941,0.000000,0.000011
1942,0.000000,0.000016
1943,0.000000,0.000016
1944,0.000000,0.000016
1945,0.000000,0.000011
1946,0.000000,0.000011
1947,0.000000,0.000014
1948,0.000000,0.000009
1949,0.000000,0.000009
1950,0.000000,0.000014
1951,0.000000,0.000010
1952,0.000000,0.000009
1953,0.000000,0.000007
1954,0.000000,0.000007
1955,0.000000,0.000007
1956,0.000000,0.000008
1957,0.000000,0.000006
1958,0.000000,0.000006
1959,0.000000,0.000007
1960,0.000000,0.000005
1961,0.000000,0.000007
1962,0.000000,0.000008
1963,0.000000,0.000007
1964,0.000000,0.000006
1965,0.000000,0.000005
1966,0.000000,0.000005
1967,0.000000,0.000006
1968,0.000000,0.000006
1969,0.000000,0.000006
1970,0.000000,0.000003
1971,0.000000,0.000005
1972,0.000000,0.000005
1973,0.000000,0.000007
1974,0.000000,0.000005
1975,0.000000,0.000002
1976,0.000000,0.000003
1977,0.000000,0.000005
1978,0.000000,0.000005
1979,0.000000,0.000006
1980,0.000000,0.000004
1981,0.000000,0.000007
1982,0.000000,0.000003
1983,0.000000,0.000004
1984,0.000000,0.000004
1985,0.000000,0.000000
1986,0.000000,0.000002
1987,0.000000,0.000005
1988,0.000000,0.000005
1989,0.000000,0.000004
1990,0.000000,0.000005
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000003
1998,0.000000,0.000005
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000004
2002,0.000000,0.000006
2003,0.000000,0.000003
2004,0.000000,0.000007
2005,0.000000,0.000008
2006,0.000000,0.000008
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000011
2010,0.000000,0.000008
2011,0.000000,0.000007
2012,0.000000,0.000008
2013,0.000000,0.000006
2014,0.000000,0.000009
2015,0.000000,0.000010
2016,0.000000,0.000010
2017,0.000000,0.000009
2018,0.000000,0.000009
2019,0.000002,0.000005
2020,0.000000,0.000011
