year,Terrell (F),Terrell (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000014
1902,0.000000,0.000013
1903,0.000000,0.000021
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000017
1908,0.000000,0.000014
1909,0.000000,0.000016
1910,0.000000,0.000008
1911,0.000000,0.000012
1912,0.000000,0.000027
1913,0.000000,0.000013
1914,0.000000,0.000018
1915,0.000000,0.000016
1916,0.000000,0.000018
1917,0.000000,0.000015
1918,0.000000,0.000016
1919,0.000000,0.000016
1920,0.000002,0.000021
1921,0.000000,0.000015
1922,0.000002,0.000018
1923,0.000000,0.000014
1924,0.000000,0.000019
1925,0.000000,0.000015
1926,0.000000,0.000016
1927,0.000000,0.000019
1928,0.000000,0.000019
1929,0.000000,0.000019
1930,0.000000,0.000016
1931,0.000000,0.000013
1932,0.000000,0.000023
1933,0.000000,0.000024
1934,0.000000,0.000027
1935,0.000000,0.000031
1936,0.000002,0.000031
1937,0.000002,0.000031
1938,0.000003,0.000033
1939,0.000005,0.000040
1940,0.000003,0.000051
1941,0.000005,0.000053
1942,0.000006,0.000037
1943,0.000002,0.000042
1944,0.000006,0.000049
1945,0.000006,0.000050
1946,0.000008,0.000059
1947,0.000005,0.000051
1948,0.000009,0.000061
1949,0.000008,0.000058
1950,0.000007,0.000058
1951,0.000006,0.000053
1952,0.000006,0.000047
1953,0.000005,0.000046
1954,0.000006,0.000049
1955,0.000007,0.000050
1956,0.000006,0.000049
1957,0.000007,0.000051
1958,0.000009,0.000064
1959,0.000006,0.000053
1960,0.000007,0.000053
1961,0.000005,0.000049
1962,0.000006,0.000056
1963,0.000006,0.000064
1964,0.000008,0.000057
1965,0.000005,0.000067
1966,0.000007,0.000071
1967,0.000011,0.000096
1968,0.000014,0.000088
1969,0.000013,0.000092
1970,0.000017,0.000098
1971,0.000017,0.000101
1972,0.000015,0.000112
1973,0.000013,0.000121
1974,0.000013,0.000111
1975,0.000015,0.000163
1976,0.000011,0.000165
1977,0.000009,0.000186
1978,0.000007,0.000158
1979,0.000010,0.000178
1980,0.000008,0.000175
1981,0.000010,0.000173
1982,0.000006,0.000194
1983,0.000007,0.000206
1984,0.000009,0.000230
1985,0.000006,0.000249
1986,0.000008,0.000241
1987,0.000004,0.000241
1988,0.000007,0.000248
1989,0.000005,0.000256
1990,0.000005,0.000234
1991,0.000003,0.000244
1992,0.000004,0.000221
1993,0.000004,0.000225
1994,0.000003,0.000197
1995,0.000006,0.000190
1996,0.000003,0.000183
1997,0.000000,0.000190
1998,0.000002,0.000234
1999,0.000002,0.000191
2000,0.000002,0.000161
2001,0.000002,0.000142
2002,0.000000,0.000135
2003,0.000000,0.000136
2004,0.000000,0.000134
2005,0.000001,0.000135
2006,0.000001,0.000126
2007,0.000000,0.000130
2008,0.000002,0.000122
2009,0.000000,0.000118
2010,0.000000,0.000102
2011,0.000000,0.000105
2012,0.000000,0.000096
2013,0.000000,0.000088
2014,0.000000,0.000075
2015,0.000000,0.000067
2016,0.000000,0.000063
2017,0.000000,0.000068
2018,0.000000,0.000061
2019,0.000000,0.000055
2020,0.000000,0.000052
