year,Tana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,7
1925,8
1926,5
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,7
1938,7
1939,9
1940,12
1941,18
1942,28
1943,124
1944,117
1945,108
1946,107
1947,110
1948,137
1949,119
1950,132
1951,144
1952,129
1953,117
1954,154
1955,139
1956,147
1957,159
1958,164
1959,195
1960,208
1961,223
1962,240
1963,210
1964,207
1965,223
1966,203
1967,205
1968,175
1969,169
1970,209
1971,206
1972,174
1973,150
1974,163
1975,165
1976,173
1977,148
1978,140
1979,208
1980,157
1981,128
1982,182
1983,150
1984,157
1985,173
1986,163
1987,128
1988,121
1989,124
1990,113
1991,108
1992,96
1993,86
1994,85
1995,90
1996,83
1997,73
1998,68
1999,83
2000,67
2001,60
2002,58
2003,45
2004,43
2005,43
2006,47
2007,45
2008,32
2009,24
2010,26
2011,19
2012,17
