year,Tonette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,7
1940,6
1941,0
1942,8
1943,0
1944,0
1945,7
1946,11
1947,9
1948,12
1949,6
1950,14
1951,13
1952,11
1953,26
1954,28
1955,34
1956,31
1957,39
1958,36
1959,63
1960,53
1961,60
1962,58
1963,48
1964,42
1965,55
1966,40
1967,73
1968,58
1969,69
1970,64
1971,40
1972,42
1973,38
1974,22
1975,21
1976,29
1977,25
1978,20
1979,29
1980,30
1981,24
1982,22
1983,15
1984,19
1985,16
1986,15
1987,18
1988,11
1989,11
1990,15
1991,15
1992,9
1993,10
1994,9
1995,6
1996,0
1997,6
1998,0
1999,7
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
