year,Tiffanie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,22
1965,20
1966,28
1967,63
1968,69
1969,80
1970,139
1971,186
1972,160
1973,189
1974,218
1975,236
1976,239
1977,245
1978,225
1979,335
1980,470
1981,402
1982,404
1983,403
1984,396
1985,380
1986,366
1987,334
1988,407
1989,343
1990,307
1991,252
1992,256
1993,244
1994,211
1995,197
1996,173
1997,135
1998,135
1999,85
2000,91
2001,72
2002,57
2003,46
2004,62
2005,53
2006,42
2007,34
2008,30
2009,31
2010,27
2011,25
2012,19
