year,Teena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,9
1933,5
1934,0
1935,0
1936,6
1937,0
1938,0
1939,0
1940,9
1941,0
1942,17
1943,26
1944,40
1945,36
1946,52
1947,64
1948,58
1949,66
1950,56
1951,93
1952,98
1953,96
1954,108
1955,233
1956,322
1957,263
1958,272
1959,248
1960,220
1961,182
1962,246
1963,196
1964,194
1965,184
1966,156
1967,130
1968,133
1969,116
1970,102
1971,141
1972,100
1973,88
1974,106
1975,62
1976,60
1977,54
1978,42
1979,45
1980,58
1981,122
1982,92
1983,59
1984,71
1985,146
1986,51
1987,43
1988,43
1989,47
1990,32
1991,35
1992,25
1993,21
1994,17
1995,19
1996,14
1997,18
1998,7
1999,13
2000,9
2001,0
2002,5
2003,5
2004,7
2005,5
2006,8
2007,9
2008,5
2009,5
2010,0
2011,11
2012,0
