year,Tyrone (F),Tyrone (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000004
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000003
1918,0.000000,0.000003
1919,0.000000,0.000000
1920,0.000000,0.000002
1921,0.000000,0.000004
1922,0.000000,0.000003
1923,0.000000,0.000004
1924,0.000000,0.000004
1925,0.000000,0.000000
1926,0.000000,0.000003
1927,0.000000,0.000006
1928,0.000000,0.000004
1929,0.000000,0.000004
1930,0.000000,0.000004
1931,0.000000,0.000003
1932,0.000000,0.000003
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000008
1936,0.000000,0.000004
1937,0.000000,0.000033
1938,0.000000,0.000094
1939,0.000000,0.000184
1940,0.000000,0.000153
1941,0.000000,0.000142
1942,0.000000,0.000123
1943,0.000000,0.000119
1944,0.000000,0.000116
1945,0.000000,0.000139
1946,0.000000,0.000148
1947,0.000000,0.000175
1948,0.000002,0.000209
1949,0.000000,0.000227
1950,0.000002,0.000233
1951,0.000001,0.000242
1952,0.000003,0.000246
1953,0.000003,0.000296
1954,0.000004,0.000307
1955,0.000002,0.000319
1956,0.000003,0.000341
1957,0.000003,0.000336
1958,0.000004,0.000370
1959,0.000005,0.000436
1960,0.000005,0.000385
1961,0.000003,0.000394
1962,0.000003,0.000400
1963,0.000005,0.000407
1964,0.000007,0.000399
1965,0.000005,0.000433
1966,0.000003,0.000464
1967,0.000005,0.000461
1968,0.000005,0.000429
1969,0.000008,0.000638
1970,0.000009,0.000702
1971,0.000008,0.000616
1972,0.000007,0.000586
1973,0.000009,0.000607
1974,0.000009,0.000597
1975,0.000008,0.000558
1976,0.000004,0.000570
1977,0.000008,0.000495
1978,0.000006,0.000452
1979,0.000006,0.000410
1980,0.000006,0.000347
1981,0.000003,0.000350
1982,0.000004,0.000365
1983,0.000002,0.000331
1984,0.000003,0.000303
1985,0.000006,0.000343
1986,0.000003,0.000326
1987,0.000006,0.000319
1988,0.000003,0.000301
1989,0.000002,0.000277
1990,0.000000,0.000261
1991,0.000000,0.000242
1992,0.000000,0.000254
1993,0.000000,0.000239
1994,0.000002,0.000224
1995,0.000001,0.000196
1996,0.000001,0.000187
1997,0.000000,0.000187
1998,0.000000,0.000166
1999,0.000000,0.000151
2000,0.000000,0.000161
2001,0.000000,0.000140
2002,0.000000,0.000121
2003,0.000000,0.000109
2004,0.000000,0.000106
2005,0.000000,0.000105
2006,0.000000,0.000109
2007,0.000000,0.000104
2008,0.000000,0.000094
2009,0.000000,0.000093
2010,0.000000,0.000089
2011,0.000000,0.000075
2012,0.000000,0.000077
2013,0.000000,0.000078
