year,Thurston (F),Thurston (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000029
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000024
1899,0.000000,0.000000
1900,0.000000,0.000024
1901,0.000000,0.000000
1902,0.000000,0.000021
1903,0.000000,0.000018
1904,0.000000,0.000020
1905,0.000000,0.000021
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000014
1909,0.000000,0.000020
1910,0.000000,0.000027
1911,0.000000,0.000022
1912,0.000000,0.000026
1913,0.000000,0.000040
1914,0.000000,0.000028
1915,0.000000,0.000035
1916,0.000000,0.000022
1917,0.000000,0.000027
1918,0.000000,0.000034
1919,0.000000,0.000026
1920,0.000000,0.000030
1921,0.000000,0.000031
1922,0.000000,0.000024
1923,0.000000,0.000024
1924,0.000000,0.000028
1925,0.000000,0.000019
1926,0.000000,0.000022
1927,0.000000,0.000017
1928,0.000000,0.000023
1929,0.000000,0.000017
1930,0.000000,0.000020
1931,0.000000,0.000021
1932,0.000000,0.000015
1933,0.000000,0.000019
1934,0.000000,0.000018
1935,0.000000,0.000016
1936,0.000000,0.000013
1937,0.000000,0.000018
1938,0.000000,0.000014
1939,0.000000,0.000015
1940,0.000000,0.000014
1941,0.000000,0.000014
1942,0.000000,0.000011
1943,0.000000,0.000010
1944,0.000000,0.000016
1945,0.000000,0.000019
1946,0.000000,0.000012
1947,0.000000,0.000010
1948,0.000000,0.000010
1949,0.000000,0.000013
1950,0.000000,0.000008
1951,0.000000,0.000011
1952,0.000000,0.000008
1953,0.000000,0.000007
1954,0.000000,0.000006
1955,0.000000,0.000007
1956,0.000000,0.000009
1957,0.000000,0.000009
1958,0.000000,0.000012
1959,0.000000,0.000008
1960,0.000000,0.000008
1961,0.000000,0.000008
1962,0.000000,0.000008
1963,0.000000,0.000008
1964,0.000000,0.000008
1965,0.000000,0.000008
1966,0.000000,0.000006
1967,0.000000,0.000008
1968,0.000000,0.000009
1969,0.000000,0.000008
1970,0.000000,0.000009
1971,0.000000,0.000012
1972,0.000000,0.000008
1973,0.000000,0.000011
1974,0.000000,0.000011
1975,0.000000,0.000006
1976,0.000000,0.000008
1977,0.000000,0.000005
1978,0.000000,0.000008
1979,0.000000,0.000009
1980,0.000000,0.000009
1981,0.000000,0.000008
1982,0.000000,0.000006
1983,0.000000,0.000007
1984,0.000000,0.000007
1985,0.000000,0.000006
1986,0.000000,0.000006
1987,0.000000,0.000006
1988,0.000000,0.000008
1989,0.000000,0.000006
1990,0.000000,0.000003
1991,0.000000,0.000007
1992,0.000000,0.000006
1993,0.000000,0.000004
1994,0.000000,0.000004
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000005
1998,0.000000,0.000003
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000003
2003,0.000000,0.000004
2004,0.000000,0.000005
2005,0.000000,0.000005
2006,0.000000,0.000005
2007,0.000000,0.000005
2008,0.000000,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000006
2011,0.000000,0.000008
2012,0.000000,0.000004
2013,0.000000,0.000007
2014,0.000000,0.000004
2015,0.000000,0.000005
2016,0.000000,0.000004
2017,0.000000,0.000003
2018,0.000000,0.000002
2019,0.000000,0.000003
2020,0.000000,0.000003
