year,Quinn (F),Quinn (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000004
1916,0.000000,0.000007
1917,0.000000,0.000006
1918,0.000000,0.000006
1919,0.000000,0.000006
1920,0.000000,0.000005
1921,0.000000,0.000009
1922,0.000000,0.000005
1923,0.000000,0.000004
1924,0.000000,0.000004
1925,0.000000,0.000004
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000007
1929,0.000000,0.000005
1930,0.000000,0.000007
1931,0.000000,0.000005
1932,0.000000,0.000007
1933,0.000000,0.000004
1934,0.000000,0.000004
1935,0.000000,0.000008
1936,0.000000,0.000005
1937,0.000000,0.000005
1938,0.000000,0.000004
1939,0.000000,0.000004
1940,0.000000,0.000005
1941,0.000000,0.000005
1942,0.000000,0.000007
1943,0.000000,0.000004
1944,0.000000,0.000003
1945,0.000000,0.000005
1946,0.000000,0.000004
1947,0.000000,0.000007
1948,0.000001,0.000006
1949,0.000000,0.000003
1950,0.000000,0.000007
1951,0.000000,0.000007
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000006
1955,0.000000,0.000007
1956,0.000000,0.000010
1957,0.000001,0.000014
1958,0.000000,0.000011
1959,0.000000,0.000013
1960,0.000002,0.000016
1961,0.000003,0.000016
1962,0.000001,0.000016
1963,0.000005,0.000026
1964,0.000004,0.000031
1965,0.000005,0.000029
1966,0.000007,0.000032
1967,0.000005,0.000040
1968,0.000007,0.000034
1969,0.000007,0.000033
1970,0.000006,0.000045
1971,0.000007,0.000043
1972,0.000004,0.000038
1973,0.000000,0.000045
1974,0.000004,0.000053
1975,0.000005,0.000050
1976,0.000007,0.000046
1977,0.000003,0.000046
1978,0.000021,0.000052
1979,0.000044,0.000065
1980,0.000030,0.000063
1981,0.000028,0.000054
1982,0.000040,0.000054
1983,0.000027,0.000051
1984,0.000029,0.000052
1985,0.000022,0.000048
1986,0.000021,0.000068
1987,0.000023,0.000075
1988,0.000025,0.000072
1989,0.000020,0.000094
1990,0.000024,0.000092
1991,0.000027,0.000122
1992,0.000028,0.000127
1993,0.000035,0.000146
1994,0.000043,0.000159
1995,0.000055,0.000165
1996,0.000053,0.000217
1997,0.000057,0.000251
1998,0.000077,0.000222
1999,0.000090,0.000268
2000,0.000079,0.000248
2001,0.000082,0.000251
2002,0.000090,0.000245
2003,0.000104,0.000282
2004,0.000105,0.000271
2005,0.000106,0.000282
2006,0.000138,0.000312
2007,0.000131,0.000331
2008,0.000153,0.000310
2009,0.000165,0.000351
2010,0.000346,0.000335
2011,0.000464,0.000310
2012,0.000578,0.000270
