year,Queenie
1880,11
1881,7
1882,11
1883,7
1884,18
1885,11
1886,13
1887,12
1888,13
1889,15
1890,10
1891,13
1892,25
1893,21
1894,26
1895,27
1896,27
1897,15
1898,14
1899,24
1900,35
1901,31
1902,33
1903,29
1904,20
1905,41
1906,38
1907,37
1908,39
1909,43
1910,51
1911,34
1912,40
1913,38
1914,54
1915,54
1916,65
1917,70
1918,56
1919,68
1920,66
1921,52
1922,62
1923,69
1924,68
1925,53
1926,51
1927,64
1928,46
1929,51
1930,48
1931,41
1932,36
1933,43
1934,21
1935,30
1936,35
1937,43
1938,46
1939,31
1940,46
1941,24
1942,40
1943,36
1944,30
1945,30
1946,31
1947,41
1948,32
1949,21
1950,34
1951,33
1952,29
1953,35
1954,25
1955,29
1956,35
1957,25
1958,36
1959,40
1960,39
1961,22
1962,18
1963,18
1964,14
1965,22
1966,20
1967,8
1968,9
1969,8
1970,14
1971,8
1972,5
1973,12
1974,9
1975,6
1976,0
1977,11
1978,0
1979,9
1980,0
1981,0
1982,0
1983,5
1984,9
1985,6
1986,6
1987,11
1988,12
1989,8
1990,6
1991,7
1992,9
1993,14
1994,15
1995,6
1996,9
1997,12
1998,12
1999,7
2000,24
2001,21
2002,19
2003,17
2004,14
2005,13
2006,18
2007,26
2008,23
2009,36
2010,26
2011,39
2012,40
