year,Quenton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,21
1919,32
1920,25
1921,18
1922,11
1923,11
1924,10
1925,6
1926,6
1927,10
1928,5
1929,8
1930,0
1931,7
1932,0
1933,9
1934,6
1935,7
1936,0
1937,10
1938,0
1939,7
1940,0
1941,0
1942,6
1943,6
1944,8
1945,10
1946,13
1947,0
1948,8
1949,9
1950,6
1951,9
1952,7
1953,7
1954,6
1955,12
1956,9
1957,10
1958,15
1959,15
1960,24
1961,12
1962,14
1963,19
1964,26
1965,9
1966,19
1967,13
1968,12
1969,37
1970,33
1971,35
1972,29
1973,19
1974,39
1975,39
1976,36
1977,30
1978,52
1979,42
1980,49
1981,45
1982,50
1983,56
1984,40
1985,46
1986,44
1987,58
1988,58
1989,90
1990,102
1991,70
1992,74
1993,69
1994,95
1995,82
1996,87
1997,80
1998,79
1999,83
2000,74
2001,73
2002,64
2003,46
2004,55
2005,62
2006,45
2007,43
2008,48
2009,50
2010,33
2011,36
2012,21
