year,Quinton (F),Quinton (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000021
1907,0.000000,0.000000
1908,0.000000,0.000018
1909,0.000000,0.000014
1910,0.000000,0.000008
1911,0.000000,0.000014
1912,0.000000,0.000013
1913,0.000000,0.000014
1914,0.000000,0.000013
1915,0.000000,0.000013
1916,0.000000,0.000013
1917,0.000000,0.000018
1918,0.000000,0.000068
1919,0.000000,0.000072
1920,0.000000,0.000057
1921,0.000000,0.000044
1922,0.000000,0.000032
1923,0.000000,0.000028
1924,0.000000,0.000031
1925,0.000000,0.000028
1926,0.000000,0.000021
1927,0.000000,0.000022
1928,0.000000,0.000024
1929,0.000000,0.000013
1930,0.000000,0.000019
1931,0.000000,0.000014
1932,0.000000,0.000023
1933,0.000000,0.000024
1934,0.000000,0.000029
1935,0.000000,0.000019
1936,0.000000,0.000020
1937,0.000000,0.000018
1938,0.000000,0.000017
1939,0.000000,0.000020
1940,0.000000,0.000017
1941,0.000000,0.000016
1942,0.000000,0.000018
1943,0.000000,0.000020
1944,0.000000,0.000017
1945,0.000000,0.000015
1946,0.000000,0.000019
1947,0.000000,0.000016
1948,0.000000,0.000015
1949,0.000000,0.000018
1950,0.000000,0.000022
1951,0.000000,0.000017
1952,0.000000,0.000020
1953,0.000000,0.000014
1954,0.000000,0.000018
1955,0.000000,0.000021
1956,0.000000,0.000016
1957,0.000000,0.000020
1958,0.000000,0.000023
1959,0.000000,0.000023
1960,0.000000,0.000030
1961,0.000000,0.000029
1962,0.000000,0.000030
1963,0.000000,0.000043
1964,0.000000,0.000049
1965,0.000000,0.000041
1966,0.000000,0.000041
1967,0.000000,0.000031
1968,0.000000,0.000039
1969,0.000000,0.000041
1970,0.000000,0.000050
1971,0.000000,0.000045
1972,0.000000,0.000042
1973,0.000000,0.000056
1974,0.000000,0.000053
1975,0.000000,0.000063
1976,0.000000,0.000081
1977,0.000000,0.000085
1978,0.000000,0.000069
1979,0.000000,0.000078
1980,0.000000,0.000078
1981,0.000000,0.000088
1982,0.000000,0.000118
1983,0.000003,0.000187
1984,0.000002,0.000162
1985,0.000003,0.000152
1986,0.000001,0.000139
1987,0.000001,0.000143
1988,0.000002,0.000141
1989,0.000000,0.000183
1990,0.000000,0.000216
1991,0.000000,0.000189
1992,0.000000,0.000175
1993,0.000000,0.000172
1994,0.000000,0.000227
1995,0.000000,0.000235
1996,0.000000,0.000239
1997,0.000000,0.000232
1998,0.000000,0.000219
1999,0.000000,0.000188
2000,0.000000,0.000182
2001,0.000000,0.000173
2002,0.000000,0.000166
2003,0.000000,0.000170
2004,0.000000,0.000139
2005,0.000000,0.000145
2006,0.000000,0.000140
2007,0.000000,0.000140
2008,0.000000,0.000152
2009,0.000000,0.000135
2010,0.000000,0.000144
2011,0.000000,0.000131
2012,0.000000,0.000135
2013,0.000000,0.000133
