year,Quentin (F),Quentin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000019
1906,0.000000,0.000000
1907,0.000000,0.000026
1908,0.000000,0.000020
1909,0.000000,0.000022
1910,0.000000,0.000022
1911,0.000000,0.000020
1912,0.000000,0.000022
1913,0.000000,0.000024
1914,0.000000,0.000020
1915,0.000000,0.000017
1916,0.000000,0.000028
1917,0.000000,0.000036
1918,0.000000,0.000221
1919,0.000003,0.000268
1920,0.000000,0.000149
1921,0.000000,0.000099
1922,0.000000,0.000070
1923,0.000000,0.000073
1924,0.000000,0.000079
1925,0.000000,0.000047
1926,0.000000,0.000045
1927,0.000000,0.000046
1928,0.000000,0.000047
1929,0.000000,0.000045
1930,0.000000,0.000049
1931,0.000000,0.000049
1932,0.000000,0.000036
1933,0.000000,0.000034
1934,0.000000,0.000033
1935,0.000000,0.000034
1936,0.000000,0.000027
1937,0.000000,0.000028
1938,0.000000,0.000028
1939,0.000000,0.000033
1940,0.000000,0.000024
1941,0.000000,0.000024
1942,0.000000,0.000040
1943,0.000000,0.000031
1944,0.000000,0.000044
1945,0.000000,0.000038
1946,0.000000,0.000037
1947,0.000000,0.000031
1948,0.000000,0.000034
1949,0.000000,0.000030
1950,0.000000,0.000034
1951,0.000000,0.000030
1952,0.000000,0.000034
1953,0.000000,0.000029
1954,0.000000,0.000033
1955,0.000000,0.000030
1956,0.000000,0.000033
1957,0.000000,0.000027
1958,0.000000,0.000033
1959,0.000000,0.000030
1960,0.000000,0.000031
1961,0.000000,0.000036
1962,0.000000,0.000035
1963,0.000000,0.000056
1964,0.000000,0.000061
1965,0.000000,0.000050
1966,0.000001,0.000046
1967,0.000000,0.000049
1968,0.000000,0.000052
1969,0.000000,0.000077
1970,0.000001,0.000114
1971,0.000002,0.000112
1972,0.000002,0.000110
1973,0.000002,0.000110
1974,0.000000,0.000111
1975,0.000003,0.000136
1976,0.000003,0.000172
1977,0.000003,0.000196
1978,0.000002,0.000147
1979,0.000000,0.000144
1980,0.000002,0.000137
1981,0.000002,0.000127
1982,0.000001,0.000182
1983,0.000002,0.000212
1984,0.000004,0.000173
1985,0.000002,0.000167
1986,0.000002,0.000178
1987,0.000003,0.000194
1988,0.000002,0.000209
1989,0.000001,0.000195
1990,0.000000,0.000185
1991,0.000001,0.000167
1992,0.000000,0.000169
1993,0.000000,0.000158
1994,0.000000,0.000193
1995,0.000002,0.000246
1996,0.000000,0.000265
1997,0.000000,0.000274
1998,0.000000,0.000286
1999,0.000000,0.000234
2000,0.000000,0.000231
2001,0.000001,0.000204
2002,0.000002,0.000208
2003,0.000000,0.000220
2004,0.000001,0.000239
2005,0.000001,0.000238
2006,0.000000,0.000223
2007,0.000000,0.000204
2008,0.000000,0.000206
2009,0.000000,0.000212
2010,0.000000,0.000193
2011,0.000000,0.000190
2012,0.000000,0.000172
