year,Orvil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,8
1899,7
1900,0
1901,7
1902,7
1903,0
1904,0
1905,0
1906,0
1907,6
1908,11
1909,7
1910,10
1911,8
1912,31
1913,36
1914,41
1915,53
1916,55
1917,57
1918,59
1919,75
1920,62
1921,86
1922,55
1923,55
1924,61
1925,52
1926,55
1927,56
1928,57
1929,56
1930,44
1931,39
1932,40
1933,41
1934,37
1935,55
1936,28
1937,34
1938,26
1939,40
1940,25
1941,36
1942,31
1943,23
1944,23
1945,31
1946,21
1947,18
1948,20
1949,14
1950,22
1951,18
1952,13
1953,15
1954,12
1955,5
1956,12
1957,16
1958,6
1959,7
1960,6
1961,0
1962,8
1963,13
1964,9
1965,8
1966,6
1967,5
1968,5
1969,5
1970,6
1971,6
1972,7
1973,0
1974,0
1975,0
1976,5
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
