year,Orpha
1880,29
1881,24
1882,34
1883,40
1884,48
1885,57
1886,47
1887,50
1888,60
1889,42
1890,69
1891,82
1892,77
1893,66
1894,81
1895,85
1896,67
1897,76
1898,84
1899,86
1900,94
1901,82
1902,80
1903,83
1904,74
1905,71
1906,68
1907,78
1908,77
1909,76
1910,83
1911,69
1912,104
1913,109
1914,125
1915,195
1916,192
1917,204
1918,181
1919,141
1920,185
1921,163
1922,141
1923,128
1924,144
1925,115
1926,115
1927,130
1928,99
1929,87
1930,80
1931,74
1932,78
1933,82
1934,58
1935,64
1936,51
1937,37
1938,42
1939,45
1940,32
1941,35
1942,43
1943,31
1944,21
1945,17
1946,28
1947,31
1948,26
1949,25
1950,20
1951,16
1952,16
1953,19
1954,25
1955,13
1956,16
1957,9
1958,9
1959,14
1960,10
1961,6
1962,11
1963,12
1964,9
1965,8
1966,0
1967,11
1968,6
1969,8
1970,13
1971,6
1972,6
1973,5
1974,7
1975,5
1976,8
1977,6
1978,0
1979,0
1980,6
1981,0
1982,0
1983,7
1984,7
1985,0
1986,0
1987,5
1988,6
1989,6
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
