year,Owen (F),Owen (M)
1880,0.000000,0.000387
1881,0.000000,0.000348
1882,0.000000,0.000293
1883,0.000000,0.000290
1884,0.000000,0.000374
1885,0.000000,0.000291
1886,0.000000,0.000325
1887,0.000000,0.000275
1888,0.000000,0.000327
1889,0.000000,0.000260
1890,0.000000,0.000226
1891,0.000000,0.000255
1892,0.000000,0.000305
1893,0.000000,0.000246
1894,0.000000,0.000236
1895,0.000000,0.000214
1896,0.000000,0.000232
1897,0.000000,0.000202
1898,0.000000,0.000168
1899,0.000000,0.000195
1900,0.000000,0.000207
1901,0.000000,0.000231
1902,0.000000,0.000163
1903,0.000000,0.000218
1904,0.000000,0.000176
1905,0.000000,0.000210
1906,0.000000,0.000191
1907,0.000000,0.000223
1908,0.000000,0.000215
1909,0.000000,0.000176
1910,0.000000,0.000200
1911,0.000000,0.000242
1912,0.000000,0.000268
1913,0.000000,0.000258
1914,0.000000,0.000251
1915,0.000003,0.000261
1916,0.000003,0.000252
1917,0.000003,0.000244
1918,0.000004,0.000272
1919,0.000000,0.000263
1920,0.000000,0.000264
1921,0.000000,0.000301
1922,0.000000,0.000276
1923,0.000002,0.000255
1924,0.000000,0.000266
1925,0.000000,0.000249
1926,0.000002,0.000241
1927,0.000000,0.000238
1928,0.000000,0.000223
1929,0.000004,0.000240
1930,0.000004,0.000231
1931,0.000002,0.000217
1932,0.000000,0.000210
1933,0.000000,0.000220
1934,0.000000,0.000209
1935,0.000000,0.000197
1936,0.000000,0.000185
1937,0.000000,0.000193
1938,0.000003,0.000184
1939,0.000000,0.000174
1940,0.000000,0.000158
1941,0.000000,0.000169
1942,0.000000,0.000152
1943,0.000000,0.000148
1944,0.000000,0.000146
1945,0.000000,0.000139
1946,0.000000,0.000123
1947,0.000000,0.000112
1948,0.000000,0.000112
1949,0.000000,0.000106
1950,0.000002,0.000111
1951,0.000000,0.000102
1952,0.000000,0.000120
1953,0.000000,0.000107
1954,0.000000,0.000101
1955,0.000000,0.000086
1956,0.000000,0.000097
1957,0.000001,0.000097
1958,0.000000,0.000090
1959,0.000000,0.000093
1960,0.000000,0.000093
1961,0.000000,0.000085
1962,0.000000,0.000086
1963,0.000000,0.000070
1964,0.000000,0.000076
1965,0.000000,0.000075
1966,0.000000,0.000076
1967,0.000000,0.000067
1968,0.000002,0.000064
1969,0.000000,0.000079
1970,0.000002,0.000066
1971,0.000000,0.000072
1972,0.000000,0.000101
1973,0.000002,0.000112
1974,0.000000,0.000111
1975,0.000000,0.000098
1976,0.000000,0.000092
1977,0.000000,0.000102
1978,0.000002,0.000086
1979,0.000000,0.000111
1980,0.000000,0.000102
1981,0.000000,0.000110
1982,0.000002,0.000107
1983,0.000002,0.000103
1984,0.000000,0.000114
1985,0.000002,0.000116
1986,0.000000,0.000114
1987,0.000000,0.000128
1988,0.000000,0.000126
1989,0.000000,0.000113
1990,0.000000,0.000121
1991,0.000002,0.000117
1992,0.000000,0.000118
1993,0.000000,0.000121
1994,0.000000,0.000132
1995,0.000002,0.000191
1996,0.000000,0.000276
1997,0.000002,0.000377
1998,0.000002,0.000509
1999,0.000002,0.000644
2000,0.000002,0.000718
2001,0.000000,0.000810
2002,0.000003,0.001121
2003,0.000004,0.001500
2004,0.000007,0.001755
2005,0.000005,0.001865
2006,0.000003,0.002067
2007,0.000003,0.002064
2008,0.000006,0.001985
2009,0.000004,0.002133
2010,0.000003,0.002214
2011,0.000005,0.002281
2012,0.000005,0.002379
2013,0.000004,0.002406
2014,0.000006,0.002472
2015,0.000005,0.002599
2016,0.000007,0.002812
2017,0.000008,0.002621
2018,0.000007,0.002658
2019,0.000008,0.002698
2020,0.000008,0.002609
