year,Odelia
1880,6
1881,0
1882,6
1883,6
1884,10
1885,0
1886,10
1887,11
1888,11
1889,8
1890,0
1891,8
1892,14
1893,10
1894,12
1895,12
1896,18
1897,14
1898,14
1899,16
1900,17
1901,16
1902,21
1903,22
1904,21
1905,19
1906,14
1907,29
1908,19
1909,28
1910,27
1911,16
1912,25
1913,29
1914,31
1915,40
1916,35
1917,44
1918,45
1919,49
1920,46
1921,48
1922,42
1923,33
1924,29
1925,37
1926,25
1927,31
1928,25
1929,27
1930,23
1931,25
1932,30
1933,31
1934,27
1935,28
1936,30
1937,30
1938,22
1939,21
1940,29
1941,27
1942,20
1943,23
1944,24
1945,13
1946,27
1947,29
1948,30
1949,31
1950,17
1951,28
1952,22
1953,29
1954,25
1955,20
1956,23
1957,17
1958,22
1959,20
1960,12
1961,12
1962,13
1963,16
1964,11
1965,16
1966,9
1967,10
1968,15
1969,7
1970,12
1971,11
1972,0
1973,5
1974,8
1975,0
1976,0
1977,7
1978,10
1979,8
1980,7
1981,12
1982,6
1983,6
1984,5
1985,10
1986,6
1987,8
1988,6
1989,9
1990,0
1991,7
1992,5
1993,11
1994,0
1995,0
1996,0
1997,9
1998,7
1999,11
2000,19
2001,14
2002,14
2003,15
2004,12
2005,13
2006,22
2007,24
2008,21
2009,27
2010,23
2011,22
2012,22
