year,Opal (F),Opal (M)
1880,0.000025,0.000000
1881,0.000073,0.000000
1882,0.000059,0.000000
1883,0.000074,0.000000
1884,0.000115,0.000000
1885,0.000129,0.000000
1886,0.000110,0.000000
1887,0.000162,0.000000
1888,0.000174,0.000000
1889,0.000232,0.000000
1890,0.000265,0.000000
1891,0.000272,0.000000
1892,0.000320,0.000000
1893,0.000378,0.000000
1894,0.000484,0.000000
1895,0.000450,0.000000
1896,0.000520,0.000020
1897,0.000663,0.000014
1898,0.000687,0.000000
1899,0.000819,0.000000
1900,0.000959,0.000000
1901,0.001174,0.000020
1902,0.001288,0.000021
1903,0.001422,0.000016
1904,0.001539,0.000015
1905,0.001656,0.000000
1906,0.001676,0.000021
1907,0.001910,0.000024
1908,0.001954,0.000020
1909,0.002011,0.000016
1910,0.001779,0.000025
1911,0.001847,0.000023
1912,0.001482,0.000020
1913,0.001432,0.000019
1914,0.001337,0.000018
1915,0.001354,0.000015
1916,0.001363,0.000019
1917,0.001266,0.000015
1918,0.001311,0.000018
1919,0.001257,0.000012
1920,0.001194,0.000014
1921,0.001161,0.000013
1922,0.001119,0.000014
1923,0.001026,0.000012
1924,0.000959,0.000010
1925,0.000902,0.000010
1926,0.000882,0.000010
1927,0.000750,0.000009
1928,0.000703,0.000012
1929,0.000663,0.000008
1930,0.000597,0.000006
1931,0.000517,0.000008
1932,0.000497,0.000008
1933,0.000466,0.000003
1934,0.000430,0.000007
1935,0.000372,0.000005
1936,0.000341,0.000006
1937,0.000290,0.000005
1938,0.000262,0.000005
1939,0.000253,0.000004
1940,0.000226,0.000000
1941,0.000178,0.000000
1942,0.000164,0.000002
1943,0.000155,0.000000
1944,0.000148,0.000002
1945,0.000127,0.000000
1946,0.000103,0.000000
1947,0.000099,0.000000
1948,0.000076,0.000000
1949,0.000078,0.000000
1950,0.000059,0.000000
1951,0.000059,0.000000
1952,0.000053,0.000000
1953,0.000050,0.000000
1954,0.000043,0.000000
1955,0.000046,0.000000
1956,0.000037,0.000000
1957,0.000037,0.000000
1958,0.000028,0.000000
1959,0.000028,0.000000
1960,0.000032,0.000000
1961,0.000024,0.000000
1962,0.000025,0.000000
1963,0.000025,0.000000
1964,0.000023,0.000000
1965,0.000024,0.000000
1966,0.000021,0.000000
1967,0.000022,0.000000
1968,0.000022,0.000000
1969,0.000020,0.000000
1970,0.000018,0.000000
1971,0.000023,0.000000
1972,0.000020,0.000000
1973,0.000021,0.000000
1974,0.000024,0.000000
1975,0.000022,0.000000
1976,0.000027,0.000000
1977,0.000020,0.000000
1978,0.000022,0.000000
1979,0.000023,0.000000
1980,0.000019,0.000000
1981,0.000018,0.000000
1982,0.000016,0.000000
1983,0.000015,0.000000
1984,0.000014,0.000000
1985,0.000014,0.000000
1986,0.000015,0.000000
1987,0.000015,0.000000
1988,0.000013,0.000000
1989,0.000010,0.000000
1990,0.000009,0.000000
1991,0.000008,0.000000
1992,0.000008,0.000000
1993,0.000009,0.000000
1994,0.000008,0.000000
1995,0.000005,0.000000
1996,0.000007,0.000000
1997,0.000010,0.000000
1998,0.000011,0.000000
1999,0.000007,0.000000
2000,0.000008,0.000000
2001,0.000010,0.000000
2002,0.000010,0.000000
2003,0.000010,0.000000
2004,0.000016,0.000000
2005,0.000011,0.000000
2006,0.000020,0.000000
2007,0.000017,0.000000
2008,0.000022,0.000000
2009,0.000020,0.000000
2010,0.000022,0.000000
2011,0.000026,0.000000
2012,0.000029,0.000000
2013,0.000034,0.000000
