year,Ola (F),Ola (M)
1880,0.000333,0.000000
1881,0.000467,0.000042
1882,0.000510,0.000000
1883,0.000581,0.000000
1884,0.000497,0.000033
1885,0.000577,0.000000
1886,0.000728,0.000027
1887,0.000687,0.000020
1888,0.000668,0.000027
1889,0.000723,0.000035
1890,0.000793,0.000023
1891,0.000764,0.000000
1892,0.000775,0.000000
1893,0.000812,0.000000
1894,0.000779,0.000018
1895,0.000744,0.000000
1896,0.000764,0.000025
1897,0.000767,0.000014
1898,0.000857,0.000000
1899,0.000825,0.000018
1900,0.000782,0.000011
1901,0.000937,0.000020
1902,0.000936,0.000013
1903,0.000811,0.000000
1904,0.000830,0.000000
1905,0.000811,0.000019
1906,0.000796,0.000000
1907,0.000752,0.000021
1908,0.000753,0.000014
1909,0.000636,0.000000
1910,0.000714,0.000017
1911,0.000565,0.000000
1912,0.000515,0.000008
1913,0.000414,0.000011
1914,0.000403,0.000011
1915,0.000333,0.000013
1916,0.000347,0.000011
1917,0.000360,0.000007
1918,0.000317,0.000007
1919,0.000348,0.000011
1920,0.000331,0.000011
1921,0.000323,0.000006
1922,0.000305,0.000009
1923,0.000274,0.000007
1924,0.000285,0.000007
1925,0.000291,0.000003
1926,0.000269,0.000006
1927,0.000272,0.000007
1928,0.000233,0.000009
1929,0.000239,0.000005
1930,0.000238,0.000007
1931,0.000218,0.000008
1932,0.000236,0.000006
1933,0.000208,0.000005
1934,0.000214,0.000004
1935,0.000195,0.000004
1936,0.000181,0.000006
1937,0.000171,0.000005
1938,0.000146,0.000005
1939,0.000153,0.000003
1940,0.000151,0.000003
1941,0.000126,0.000005
1942,0.000108,0.000000
1943,0.000119,0.000003
1944,0.000112,0.000003
1945,0.000091,0.000000
1946,0.000079,0.000002
1947,0.000077,0.000000
1948,0.000067,0.000003
1949,0.000069,0.000000
1950,0.000062,0.000001
1951,0.000053,0.000002
1952,0.000053,0.000000
1953,0.000044,0.000002
1954,0.000042,0.000001
1955,0.000032,0.000000
1956,0.000030,0.000000
1957,0.000026,0.000000
1958,0.000025,0.000000
1959,0.000026,0.000000
1960,0.000018,0.000000
1961,0.000021,0.000000
1962,0.000018,0.000000
1963,0.000015,0.000000
1964,0.000012,0.000000
1965,0.000010,0.000000
1966,0.000014,0.000000
1967,0.000008,0.000000
1968,0.000009,0.000000
1969,0.000007,0.000000
1970,0.000009,0.000002
1971,0.000007,0.000000
1972,0.000009,0.000000
1973,0.000012,0.000000
1974,0.000008,0.000000
1975,0.000008,0.000000
1976,0.000005,0.000002
1977,0.000007,0.000000
1978,0.000006,0.000000
1979,0.000005,0.000000
1980,0.000005,0.000001
1981,0.000004,0.000000
1982,0.000009,0.000000
1983,0.000007,0.000000
1984,0.000008,0.000000
1985,0.000004,0.000000
1986,0.000006,0.000000
1987,0.000003,0.000000
1988,0.000006,0.000000
1989,0.000004,0.000000
1990,0.000003,0.000000
1991,0.000003,0.000000
1992,0.000003,0.000000
1993,0.000004,0.000000
1994,0.000005,0.000000
1995,0.000003,0.000000
1996,0.000003,0.000000
1997,0.000003,0.000000
1998,0.000004,0.000000
1999,0.000004,0.000000
2000,0.000005,0.000000
2001,0.000003,0.000000
2002,0.000003,0.000000
2003,0.000003,0.000000
2004,0.000003,0.000000
2005,0.000003,0.000000
2006,0.000004,0.000000
2007,0.000002,0.000000
2008,0.000004,0.000000
2009,0.000001,0.000000
2010,0.000002,0.000000
2011,0.000004,0.000000
2012,0.000002,0.000000
