year,Ovid
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,8
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,6
1909,7
1910,7
1911,5
1912,14
1913,12
1914,14
1915,34
1916,27
1917,25
1918,24
1919,28
1920,26
1921,23
1922,16
1923,14
1924,20
1925,22
1926,22
1927,26
1928,18
1929,8
1930,18
1931,13
1932,16
1933,10
1934,12
1935,9
1936,8
1937,13
1938,14
1939,10
1940,11
1941,11
1942,9
1943,7
1944,10
1945,8
1946,8
1947,9
1948,5
1949,6
1950,5
1951,9
1952,8
1953,6
1954,5
1955,10
1956,6
1957,6
1958,0
1959,0
1960,6
1961,7
1962,6
1963,5
1964,5
1965,5
1966,0
1967,0
1968,5
1969,0
1970,5
1971,5
1972,0
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
