year,Olene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,5
1901,0
1902,6
1903,0
1904,5
1905,0
1906,12
1907,7
1908,7
1909,10
1910,6
1911,14
1912,15
1913,21
1914,17
1915,33
1916,45
1917,62
1918,54
1919,55
1920,50
1921,47
1922,66
1923,47
1924,60
1925,43
1926,44
1927,43
1928,37
1929,45
1930,36
1931,45
1932,36
1933,29
1934,39
1935,23
1936,19
1937,24
1938,19
1939,16
1940,16
1941,14
1942,18
1943,15
1944,8
1945,20
1946,10
1947,12
1948,11
1949,6
1950,6
1951,9
1952,10
1953,5
1954,14
1955,5
1956,0
1957,5
1958,0
1959,0
1960,5
1961,0
1962,9
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
