year,Orrin (F),Orrin (M)
1880,0.000000,0.000045
1881,0.000000,0.000104
1882,0.000000,0.000099
1883,0.000000,0.000051
1884,0.000000,0.000053
1885,0.000000,0.000042
1886,0.000000,0.000055
1887,0.000000,0.000049
1888,0.000000,0.000053
1889,0.000000,0.000052
1890,0.000000,0.000053
1891,0.000000,0.000042
1892,0.000000,0.000033
1893,0.000000,0.000015
1894,0.000000,0.000044
1895,0.000000,0.000031
1896,0.000000,0.000025
1897,0.000000,0.000043
1898,0.000000,0.000037
1899,0.000000,0.000047
1900,0.000000,0.000022
1901,0.000000,0.000035
1902,0.000000,0.000013
1903,0.000000,0.000016
1904,0.000000,0.000022
1905,0.000000,0.000019
1906,0.000000,0.000026
1907,0.000000,0.000026
1908,0.000000,0.000012
1909,0.000000,0.000018
1910,0.000000,0.000032
1911,0.000000,0.000020
1912,0.000000,0.000044
1913,0.000000,0.000047
1914,0.000000,0.000048
1915,0.000000,0.000053
1916,0.000000,0.000049
1917,0.000000,0.000044
1918,0.000000,0.000044
1919,0.000000,0.000037
1920,0.000000,0.000037
1921,0.000000,0.000031
1922,0.000000,0.000034
1923,0.000000,0.000039
1924,0.000000,0.000027
1925,0.000000,0.000030
1926,0.000000,0.000030
1927,0.000000,0.000025
1928,0.000000,0.000025
1929,0.000000,0.000031
1930,0.000000,0.000025
1931,0.000000,0.000023
1932,0.000000,0.000022
1933,0.000000,0.000023
1934,0.000000,0.000024
1935,0.000000,0.000017
1936,0.000000,0.000019
1937,0.000000,0.000023
1938,0.000000,0.000017
1939,0.000000,0.000023
1940,0.000000,0.000031
1941,0.000000,0.000025
1942,0.000000,0.000023
1943,0.000000,0.000021
1944,0.000000,0.000016
1945,0.000000,0.000020
1946,0.000000,0.000017
1947,0.000000,0.000014
1948,0.000000,0.000011
1949,0.000000,0.000013
1950,0.000000,0.000014
1951,0.000000,0.000010
1952,0.000000,0.000014
1953,0.000000,0.000009
1954,0.000000,0.000007
1955,0.000000,0.000008
1956,0.000000,0.000009
1957,0.000000,0.000012
1958,0.000000,0.000008
1959,0.000000,0.000007
1960,0.000000,0.000011
1961,0.000000,0.000016
1962,0.000000,0.000013
1963,0.000000,0.000013
1964,0.000000,0.000012
1965,0.000000,0.000007
1966,0.000000,0.000014
1967,0.000000,0.000007
1968,0.000000,0.000005
1969,0.000000,0.000009
1970,0.000000,0.000006
1971,0.000000,0.000004
1972,0.000000,0.000007
1973,0.000000,0.000006
1974,0.000000,0.000006
1975,0.000000,0.000007
1976,0.000000,0.000007
1977,0.000000,0.000008
1978,0.000000,0.000006
1979,0.000000,0.000008
1980,0.000000,0.000008
1981,0.000000,0.000010
1982,0.000000,0.000012
1983,0.000000,0.000012
1984,0.000000,0.000012
1985,0.000000,0.000010
1986,0.000000,0.000016
1987,0.000000,0.000013
1988,0.000000,0.000012
1989,0.000000,0.000013
1990,0.000000,0.000013
1991,0.000000,0.000012
1992,0.000000,0.000013
1993,0.000000,0.000011
1994,0.000000,0.000010
1995,0.000000,0.000009
1996,0.000000,0.000010
1997,0.000000,0.000009
1998,0.000000,0.000010
1999,0.000000,0.000005
2000,0.000000,0.000010
2001,0.000000,0.000011
2002,0.000000,0.000009
2003,0.000000,0.000010
2004,0.000000,0.000012
2005,0.000000,0.000011
2006,0.000000,0.000011
2007,0.000000,0.000015
2008,0.000000,0.000018
2009,0.000000,0.000017
2010,0.000000,0.000015
2011,0.000000,0.000016
2012,0.000000,0.000018
