year,Osborn
1880,0
1881,0
1882,0
1883,0
1884,6
1885,5
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,6
1909,7
1910,0
1911,6
1912,12
1913,6
1914,16
1915,20
1916,16
1917,15
1918,17
1919,17
1920,14
1921,21
1922,8
1923,22
1924,12
1925,13
1926,13
1927,12
1928,10
1929,8
1930,10
1931,8
1932,8
1933,5
1934,8
1935,11
1936,7
1937,7
1938,0
1939,11
1940,0
1941,8
1942,0
1943,0
1944,11
1945,0
1946,6
1947,0
1948,0
1949,7
1950,6
1951,6
1952,9
1953,8
1954,0
1955,0
1956,8
1957,0
1958,0
1959,6
1960,0
1961,5
1962,0
1963,0
1964,5
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,0
1973,0
1974,0
1975,5
1976,0
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,8
