year,Orlando (F),Orlando (M)
1880,0.000000,0.000079
1881,0.000000,0.000099
1882,0.000000,0.000059
1883,0.000000,0.000051
1884,0.000000,0.000049
1885,0.000000,0.000066
1886,0.000000,0.000051
1887,0.000000,0.000044
1888,0.000000,0.000047
1889,0.000000,0.000042
1890,0.000000,0.000020
1891,0.000000,0.000038
1892,0.000000,0.000045
1893,0.000000,0.000034
1894,0.000000,0.000041
1895,0.000000,0.000037
1896,0.000000,0.000014
1897,0.000000,0.000029
1898,0.000000,0.000024
1899,0.000000,0.000029
1900,0.000000,0.000033
1901,0.000000,0.000026
1902,0.000000,0.000026
1903,0.000000,0.000021
1904,0.000000,0.000022
1905,0.000000,0.000024
1906,0.000000,0.000040
1907,0.000000,0.000039
1908,0.000000,0.000037
1909,0.000000,0.000031
1910,0.000000,0.000044
1911,0.000000,0.000042
1912,0.000000,0.000069
1913,0.000000,0.000067
1914,0.000000,0.000071
1915,0.000000,0.000080
1916,0.000000,0.000063
1917,0.000000,0.000078
1918,0.000000,0.000084
1919,0.000000,0.000109
1920,0.000000,0.000080
1921,0.000000,0.000082
1922,0.000000,0.000079
1923,0.000000,0.000080
1924,0.000000,0.000073
1925,0.000000,0.000073
1926,0.000000,0.000065
1927,0.000000,0.000059
1928,0.000000,0.000061
1929,0.000000,0.000046
1930,0.000000,0.000052
1931,0.000000,0.000053
1932,0.000000,0.000042
1933,0.000000,0.000051
1934,0.000000,0.000053
1935,0.000000,0.000047
1936,0.000000,0.000047
1937,0.000000,0.000044
1938,0.000000,0.000044
1939,0.000000,0.000054
1940,0.000000,0.000050
1941,0.000000,0.000048
1942,0.000000,0.000042
1943,0.000000,0.000037
1944,0.000000,0.000031
1945,0.000000,0.000036
1946,0.000000,0.000036
1947,0.000000,0.000042
1948,0.000000,0.000032
1949,0.000000,0.000037
1950,0.000000,0.000046
1951,0.000000,0.000048
1952,0.000000,0.000046
1953,0.000000,0.000056
1954,0.000000,0.000069
1955,0.000000,0.000067
1956,0.000000,0.000083
1957,0.000000,0.000084
1958,0.000000,0.000093
1959,0.000000,0.000102
1960,0.000001,0.000109
1961,0.000002,0.000146
1962,0.000001,0.000164
1963,0.000002,0.000171
1964,0.000000,0.000156
1965,0.000002,0.000160
1966,0.000000,0.000152
1967,0.000001,0.000173
1968,0.000002,0.000192
1969,0.000002,0.000180
1970,0.000003,0.000200
1971,0.000003,0.000197
1972,0.000003,0.000200
1973,0.000002,0.000207
1974,0.000004,0.000236
1975,0.000003,0.000279
1976,0.000000,0.000214
1977,0.000004,0.000216
1978,0.000003,0.000200
1979,0.000002,0.000209
1980,0.000004,0.000216
1981,0.000000,0.000208
1982,0.000001,0.000197
1983,0.000000,0.000199
1984,0.000001,0.000190
1985,0.000004,0.000205
1986,0.000003,0.000230
1987,0.000003,0.000243
1988,0.000002,0.000237
1989,0.000002,0.000218
1990,0.000001,0.000203
1991,0.000002,0.000202
1992,0.000002,0.000173
1993,0.000000,0.000183
1994,0.000001,0.000178
1995,0.000002,0.000180
1996,0.000001,0.000178
1997,0.000000,0.000178
1998,0.000000,0.000171
1999,0.000000,0.000184
2000,0.000000,0.000168
2001,0.000000,0.000195
2002,0.000000,0.000190
2003,0.000000,0.000184
2004,0.000000,0.000204
2005,0.000000,0.000212
2006,0.000000,0.000216
2007,0.000000,0.000215
2008,0.000000,0.000178
2009,0.000000,0.000188
2010,0.000000,0.000171
2011,0.000000,0.000149
2012,0.000000,0.000161
2013,0.000000,0.000129
