year,Octaviano
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,6
1919,9
1920,5
1921,8
1922,0
1923,8
1924,7
1925,11
1926,8
1927,5
1928,9
1929,8
1930,12
1931,5
1932,11
1933,14
1934,12
1935,9
1936,7
1937,11
1938,11
1939,7
1940,0
1941,10
1942,8
1943,6
1944,10
1945,9
1946,8
1947,10
1948,5
1949,15
1950,9
1951,5
1952,12
1953,8
1954,15
1955,6
1956,6
1957,11
1958,5
1959,8
1960,0
1961,0
1962,5
1963,5
1964,5
1965,5
1966,6
1967,8
1968,0
1969,0
1970,6
1971,9
1972,0
1973,10
1974,6
1975,11
1976,11
1977,11
1978,7
1979,5
1980,8
1981,7
1982,9
1983,9
1984,12
1985,6
1986,6
1987,7
1988,0
1989,9
1990,7
1991,9
1992,9
1993,6
1994,7
1995,7
1996,13
1997,5
1998,8
1999,8
2000,6
2001,7
2002,0
2003,5
2004,0
2005,6
2006,9
2007,0
2008,0
2009,8
2010,0
2011,0
2012,0
