year,Orbin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,5
1913,0
1914,12
1915,16
1916,22
1917,10
1918,12
1919,13
1920,9
1921,14
1922,17
1923,21
1924,7
1925,15
1926,10
1927,13
1928,7
1929,6
1930,14
1931,8
1932,12
1933,11
1934,12
1935,14
1936,10
1937,10
1938,0
1939,5
1940,10
1941,10
1942,11
1943,7
1944,13
1945,14
1946,6
1947,0
1948,5
1949,6
1950,0
1951,5
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,6
1960,6
1961,0
1962,0
1963,6
1964,0
1965,8
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
