year,Ocie (F),Ocie (M)
1880,0.000040,0.000000
1881,0.000057,0.000047
1882,0.000059,0.000023
1883,0.000037,0.000046
1884,0.000090,0.000025
1885,0.000046,0.000021
1886,0.000094,0.000027
1887,0.000073,0.000020
1888,0.000077,0.000033
1889,0.000100,0.000024
1890,0.000070,0.000040
1891,0.000098,0.000000
1892,0.000090,0.000036
1893,0.000123,0.000028
1894,0.000133,0.000030
1895,0.000066,0.000023
1896,0.000148,0.000028
1897,0.000092,0.000026
1898,0.000118,0.000000
1899,0.000094,0.000021
1900,0.000149,0.000027
1901,0.000124,0.000014
1902,0.000127,0.000034
1903,0.000121,0.000018
1904,0.000156,0.000037
1905,0.000123,0.000026
1906,0.000112,0.000026
1907,0.000135,0.000026
1908,0.000080,0.000029
1909,0.000133,0.000039
1910,0.000124,0.000032
1911,0.000116,0.000025
1912,0.000105,0.000040
1913,0.000076,0.000036
1914,0.000070,0.000028
1915,0.000074,0.000022
1916,0.000071,0.000027
1917,0.000063,0.000020
1918,0.000052,0.000022
1919,0.000042,0.000032
1920,0.000040,0.000026
1921,0.000048,0.000022
1922,0.000040,0.000019
1923,0.000025,0.000020
1924,0.000038,0.000023
1925,0.000042,0.000018
1926,0.000034,0.000019
1927,0.000031,0.000023
1928,0.000031,0.000015
1929,0.000026,0.000026
1930,0.000026,0.000018
1931,0.000027,0.000023
1932,0.000023,0.000018
1933,0.000024,0.000023
1934,0.000017,0.000020
1935,0.000028,0.000019
1936,0.000025,0.000016
1937,0.000021,0.000014
1938,0.000024,0.000015
1939,0.000022,0.000014
1940,0.000017,0.000017
1941,0.000013,0.000014
1942,0.000016,0.000016
1943,0.000013,0.000015
1944,0.000015,0.000010
1945,0.000013,0.000011
1946,0.000008,0.000013
1947,0.000009,0.000008
1948,0.000011,0.000009
1949,0.000010,0.000014
1950,0.000004,0.000012
1951,0.000008,0.000011
1952,0.000006,0.000005
1953,0.000003,0.000006
1954,0.000005,0.000007
1955,0.000003,0.000005
1956,0.000005,0.000006
1957,0.000002,0.000007
1958,0.000003,0.000009
1959,0.000003,0.000006
1960,0.000003,0.000006
1961,0.000002,0.000007
1962,0.000003,0.000005
1963,0.000000,0.000006
1964,0.000002,0.000007
1965,0.000002,0.000007
1966,0.000000,0.000006
1967,0.000000,0.000004
1968,0.000002,0.000006
1969,0.000001,0.000005
1970,0.000001,0.000002
1971,0.000000,0.000004
1972,0.000000,0.000004
1973,0.000003,0.000005
1974,0.000003,0.000004
1975,0.000000,0.000003
1976,0.000000,0.000003
1977,0.000003,0.000003
1978,0.000002,0.000004
1979,0.000000,0.000003
1980,0.000000,0.000003
1981,0.000000,0.000005
1982,0.000002,0.000005
1983,0.000000,0.000002
1984,0.000001,0.000003
1985,0.000000,0.000002
1986,0.000000,0.000004
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000002
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000003
1995,0.000000,0.000000
1996,0.000000,0.000001
1997,0.000000,0.000000
1998,0.000000,0.000002
1999,0.000000,0.000000
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000001,0.000002
2012,0.000002,0.000000
