year,Olivette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,0
1889,6
1890,0
1891,7
1892,5
1893,0
1894,0
1895,0
1896,5
1897,6
1898,5
1899,5
1900,0
1901,8
1902,8
1903,0
1904,11
1905,9
1906,7
1907,9
1908,10
1909,10
1910,8
1911,12
1912,10
1913,19
1914,19
1915,19
1916,16
1917,18
1918,23
1919,28
1920,30
1921,24
1922,20
1923,19
1924,19
1925,19
1926,16
1927,22
1928,14
1929,8
1930,8
1931,16
1932,10
1933,8
1934,9
1935,0
1936,11
1937,9
1938,10
1939,0
1940,0
1941,0
1942,6
1943,0
1944,5
1945,5
1946,0
1947,10
1948,5
1949,6
1950,0
1951,5
1952,5
1953,0
1954,12
1955,8
1956,6
1957,6
1958,5
1959,0
1960,5
1961,5
1962,0
1963,0
1964,5
1965,5
1966,0
1967,0
1968,11
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
