year,Ora (F),Ora (M)
1880,0.000740,0.000318
1881,0.000991,0.000285
1882,0.000817,0.000302
1883,0.000977,0.000300
1884,0.001031,0.000279
1885,0.000905,0.000241
1886,0.001124,0.000247
1887,0.000934,0.000255
1888,0.001085,0.000234
1889,0.001197,0.000163
1890,0.001175,0.000163
1891,0.001141,0.000178
1892,0.001211,0.000158
1893,0.001076,0.000108
1894,0.001193,0.000124
1895,0.001185,0.000148
1896,0.001141,0.000117
1897,0.001176,0.000127
1898,0.001172,0.000102
1899,0.001052,0.000085
1900,0.001028,0.000093
1901,0.001157,0.000098
1902,0.001104,0.000111
1903,0.001047,0.000089
1904,0.001021,0.000089
1905,0.001017,0.000092
1906,0.000950,0.000079
1907,0.000911,0.000064
1908,0.000872,0.000098
1909,0.000925,0.000078
1910,0.000838,0.000090
1911,0.000796,0.000065
1912,0.000612,0.000066
1913,0.000547,0.000074
1914,0.000493,0.000070
1915,0.000438,0.000073
1916,0.000443,0.000079
1917,0.000442,0.000064
1918,0.000395,0.000060
1919,0.000436,0.000075
1920,0.000395,0.000053
1921,0.000358,0.000061
1922,0.000378,0.000069
1923,0.000342,0.000045
1924,0.000345,0.000054
1925,0.000357,0.000051
1926,0.000331,0.000054
1927,0.000341,0.000047
1928,0.000290,0.000048
1929,0.000288,0.000038
1930,0.000304,0.000039
1931,0.000269,0.000041
1932,0.000263,0.000034
1933,0.000276,0.000027
1934,0.000247,0.000039
1935,0.000240,0.000032
1936,0.000213,0.000037
1937,0.000215,0.000031
1938,0.000188,0.000022
1939,0.000199,0.000026
1940,0.000182,0.000022
1941,0.000169,0.000017
1942,0.000136,0.000022
1943,0.000140,0.000020
1944,0.000135,0.000016
1945,0.000123,0.000020
1946,0.000110,0.000014
1947,0.000096,0.000010
1948,0.000095,0.000014
1949,0.000097,0.000011
1950,0.000077,0.000013
1951,0.000074,0.000007
1952,0.000073,0.000008
1953,0.000061,0.000010
1954,0.000059,0.000007
1955,0.000056,0.000009
1956,0.000055,0.000006
1957,0.000047,0.000006
1958,0.000044,0.000006
1959,0.000041,0.000006
1960,0.000030,0.000006
1961,0.000038,0.000006
1962,0.000029,0.000005
1963,0.000028,0.000003
1964,0.000028,0.000005
1965,0.000025,0.000004
1966,0.000022,0.000006
1967,0.000021,0.000005
1968,0.000022,0.000004
1969,0.000017,0.000005
1970,0.000016,0.000003
1971,0.000017,0.000006
1972,0.000017,0.000004
1973,0.000016,0.000003
1974,0.000012,0.000004
1975,0.000016,0.000004
1976,0.000011,0.000005
1977,0.000011,0.000004
1978,0.000011,0.000002
1979,0.000011,0.000005
1980,0.000011,0.000003
1981,0.000010,0.000005
1982,0.000008,0.000002
1983,0.000007,0.000003
1984,0.000010,0.000003
1985,0.000010,0.000003
1986,0.000008,0.000002
1987,0.000006,0.000002
1988,0.000008,0.000002
1989,0.000005,0.000002
1990,0.000003,0.000001
1991,0.000006,0.000000
1992,0.000006,0.000002
1993,0.000004,0.000000
1994,0.000004,0.000000
1995,0.000003,0.000000
1996,0.000004,0.000001
1997,0.000004,0.000000
1998,0.000005,0.000000
1999,0.000004,0.000000
2000,0.000003,0.000001
2001,0.000003,0.000000
2002,0.000003,0.000000
2003,0.000003,0.000000
2004,0.000003,0.000000
2005,0.000004,0.000002
2006,0.000003,0.000000
2007,0.000005,0.000000
2008,0.000006,0.000000
2009,0.000004,0.000000
2010,0.000005,0.000000
2011,0.000005,0.000002
2012,0.000004,0.000000
