year,Oran (F),Oran (M)
1880,0.000000,0.000069
1881,0.000000,0.000036
1882,0.000000,0.000027
1883,0.000000,0.000051
1884,0.000000,0.000033
1885,0.000000,0.000000
1886,0.000000,0.000023
1887,0.000000,0.000036
1888,0.000000,0.000023
1889,0.000000,0.000028
1890,0.000000,0.000017
1891,0.000000,0.000021
1892,0.000000,0.000030
1893,0.000000,0.000028
1894,0.000000,0.000027
1895,0.000000,0.000034
1896,0.000000,0.000031
1897,0.000000,0.000037
1898,0.000000,0.000039
1899,0.000000,0.000015
1900,0.000000,0.000027
1901,0.000000,0.000049
1902,0.000000,0.000028
1903,0.000000,0.000034
1904,0.000000,0.000025
1905,0.000000,0.000047
1906,0.000000,0.000033
1907,0.000000,0.000024
1908,0.000000,0.000043
1909,0.000000,0.000023
1910,0.000000,0.000032
1911,0.000000,0.000029
1912,0.000000,0.000039
1913,0.000000,0.000051
1914,0.000000,0.000046
1915,0.000000,0.000041
1916,0.000000,0.000042
1917,0.000000,0.000040
1918,0.000000,0.000034
1919,0.000000,0.000042
1920,0.000000,0.000037
1921,0.000000,0.000041
1922,0.000000,0.000045
1923,0.000000,0.000039
1924,0.000000,0.000036
1925,0.000000,0.000037
1926,0.000000,0.000037
1927,0.000000,0.000037
1928,0.000000,0.000027
1929,0.000000,0.000028
1930,0.000000,0.000031
1931,0.000000,0.000029
1932,0.000000,0.000027
1933,0.000000,0.000027
1934,0.000000,0.000030
1935,0.000000,0.000025
1936,0.000000,0.000026
1937,0.000000,0.000017
1938,0.000000,0.000012
1939,0.000000,0.000022
1940,0.000000,0.000017
1941,0.000000,0.000021
1942,0.000000,0.000021
1943,0.000000,0.000019
1944,0.000000,0.000019
1945,0.000000,0.000014
1946,0.000000,0.000014
1947,0.000000,0.000012
1948,0.000000,0.000012
1949,0.000000,0.000014
1950,0.000000,0.000012
1951,0.000000,0.000009
1952,0.000000,0.000009
1953,0.000000,0.000011
1954,0.000000,0.000009
1955,0.000000,0.000010
1956,0.000000,0.000008
1957,0.000000,0.000010
1958,0.000000,0.000009
1959,0.000000,0.000008
1960,0.000000,0.000007
1961,0.000000,0.000006
1962,0.000000,0.000006
1963,0.000000,0.000005
1964,0.000000,0.000006
1965,0.000000,0.000007
1966,0.000000,0.000006
1967,0.000000,0.000007
1968,0.000000,0.000009
1969,0.000000,0.000007
1970,0.000000,0.000009
1971,0.000000,0.000005
1972,0.000000,0.000006
1973,0.000000,0.000009
1974,0.000000,0.000009
1975,0.000000,0.000008
1976,0.000000,0.000008
1977,0.000000,0.000007
1978,0.000000,0.000006
1979,0.000000,0.000007
1980,0.000000,0.000005
1981,0.000000,0.000005
1982,0.000000,0.000003
1983,0.000000,0.000003
1984,0.000000,0.000002
1985,0.000000,0.000005
1986,0.000000,0.000005
1987,0.000000,0.000007
1988,0.000000,0.000005
1989,0.000000,0.000007
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000005
1993,0.000000,0.000005
1994,0.000000,0.000005
1995,0.000000,0.000003
1996,0.000000,0.000004
1997,0.000000,0.000004
1998,0.000000,0.000004
1999,0.000000,0.000006
2000,0.000000,0.000003
2001,0.000000,0.000005
2002,0.000000,0.000006
2003,0.000000,0.000006
2004,0.000000,0.000004
2005,0.000000,0.000006
2006,0.000000,0.000006
2007,0.000000,0.000005
2008,0.000000,0.000006
2009,0.000000,0.000006
2010,0.000000,0.000004
2011,0.000000,0.000008
2012,0.000000,0.000004
2013,0.000000,0.000006
