year,Oneida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,5
1895,0
1896,5
1897,0
1898,0
1899,8
1900,9
1901,8
1902,5
1903,5
1904,6
1905,0
1906,6
1907,15
1908,5
1909,8
1910,16
1911,13
1912,12
1913,19
1914,31
1915,38
1916,18
1917,39
1918,38
1919,63
1920,49
1921,48
1922,59
1923,41
1924,44
1925,43
1926,41
1927,47
1928,26
1929,27
1930,31
1931,19
1932,25
1933,26
1934,25
1935,20
1936,22
1937,17
1938,19
1939,18
1940,19
1941,22
1942,14
1943,16
1944,19
1945,20
1946,16
1947,14
1948,21
1949,19
1950,17
1951,17
1952,23
1953,13
1954,13
1955,16
1956,17
1957,20
1958,14
1959,19
1960,31
1961,20
1962,14
1963,20
1964,22
1965,19
1966,16
1967,22
1968,23
1969,23
1970,24
1971,27
1972,19
1973,29
1974,24
1975,25
1976,20
1977,28
1978,16
1979,25
1980,19
1981,20
1982,19
1983,20
1984,17
1985,14
1986,8
1987,12
1988,10
1989,14
1990,11
1991,12
1992,16
1993,12
1994,16
1995,18
1996,19
1997,9
1998,16
1999,6
2000,16
2001,13
2002,10
2003,14
2004,11
2005,8
2006,10
2007,6
2008,7
2009,7
2010,6
2011,5
2012,0
