year,Otilia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,7
1895,0
1896,5
1897,0
1898,0
1899,7
1900,5
1901,7
1902,0
1903,5
1904,0
1905,5
1906,0
1907,10
1908,0
1909,7
1910,10
1911,8
1912,11
1913,16
1914,24
1915,18
1916,17
1917,21
1918,16
1919,23
1920,24
1921,23
1922,30
1923,30
1924,32
1925,26
1926,26
1927,33
1928,35
1929,32
1930,20
1931,17
1932,25
1933,23
1934,23
1935,36
1936,21
1937,19
1938,16
1939,19
1940,14
1941,19
1942,17
1943,18
1944,15
1945,11
1946,16
1947,16
1948,25
1949,8
1950,10
1951,16
1952,25
1953,7
1954,11
1955,11
1956,15
1957,13
1958,15
1959,14
1960,13
1961,12
1962,10
1963,21
1964,9
1965,16
1966,8
1967,13
1968,12
1969,8
1970,7
1971,11
1972,15
1973,15
1974,15
1975,16
1976,10
1977,10
1978,9
1979,15
1980,14
1981,12
1982,20
1983,8
1984,9
1985,8
1986,18
1987,11
1988,13
1989,12
1990,11
1991,12
1992,12
1993,5
1994,8
1995,10
1996,0
1997,17
1998,10
1999,8
2000,6
2001,7
2002,5
2003,5
2004,5
2005,5
2006,0
2007,9
2008,6
2009,8
2010,6
2011,7
2012,5
