year,Olympia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,9
1898,9
1899,5
1900,9
1901,10
1902,0
1903,9
1904,8
1905,7
1906,10
1907,6
1908,12
1909,11
1910,11
1911,15
1912,14
1913,35
1914,32
1915,41
1916,39
1917,65
1918,58
1919,38
1920,53
1921,58
1922,53
1923,56
1924,43
1925,58
1926,42
1927,37
1928,46
1929,31
1930,16
1931,32
1932,21
1933,19
1934,20
1935,18
1936,16
1937,17
1938,15
1939,20
1940,12
1941,14
1942,19
1943,15
1944,10
1945,0
1946,11
1947,18
1948,6
1949,13
1950,12
1951,12
1952,10
1953,14
1954,13
1955,18
1956,26
1957,14
1958,16
1959,10
1960,18
1961,14
1962,16
1963,15
1964,6
1965,15
1966,12
1967,6
1968,20
1969,8
1970,12
1971,8
1972,20
1973,48
1974,44
1975,55
1976,60
1977,59
1978,47
1979,21
1980,42
1981,103
1982,57
1983,24
1984,36
1985,23
1986,17
1987,30
1988,37
1989,28
1990,39
1991,39
1992,25
1993,19
1994,20
1995,20
1996,31
1997,18
1998,27
1999,21
2000,18
2001,23
2002,15
2003,16
2004,26
2005,18
2006,22
2007,24
2008,24
2009,21
2010,29
2011,22
2012,29
