year,Ona
1880,21
1881,21
1882,18
1883,26
1884,40
1885,38
1886,45
1887,47
1888,58
1889,53
1890,56
1891,63
1892,65
1893,82
1894,64
1895,66
1896,63
1897,71
1898,76
1899,75
1900,75
1901,79
1902,74
1903,54
1904,73
1905,76
1906,68
1907,85
1908,83
1909,68
1910,94
1911,75
1912,105
1913,124
1914,132
1915,180
1916,185
1917,191
1918,180
1919,168
1920,161
1921,166
1922,150
1923,149
1924,163
1925,159
1926,130
1927,149
1928,113
1929,140
1930,107
1931,121
1932,99
1933,78
1934,120
1935,83
1936,88
1937,77
1938,71
1939,81
1940,68
1941,64
1942,79
1943,62
1944,66
1945,65
1946,66
1947,45
1948,35
1949,51
1950,53
1951,69
1952,56
1953,38
1954,55
1955,45
1956,41
1957,42
1958,31
1959,21
1960,38
1961,26
1962,26
1963,26
1964,16
1965,28
1966,25
1967,24
1968,22
1969,19
1970,25
1971,25
1972,25
1973,29
1974,23
1975,31
1976,14
1977,19
1978,23
1979,18
1980,19
1981,19
1982,20
1983,11
1984,15
1985,16
1986,18
1987,6
1988,15
1989,6
1990,19
1991,17
1992,11
1993,12
1994,16
1995,15
1996,9
1997,6
1998,14
1999,8
2000,13
2001,9
2002,12
2003,17
2004,17
2005,17
2006,10
2007,18
2008,18
2009,16
2010,18
2011,28
2012,20
