year,Otto (F),Otto (M)
1880,0.000000,0.001345
1881,0.000000,0.001147
1882,0.000000,0.001138
1883,0.000000,0.001106
1884,0.000000,0.001183
1885,0.000000,0.001092
1886,0.000000,0.001058
1887,0.000000,0.001023
1888,0.000000,0.001042
1889,0.000000,0.001069
1890,0.000000,0.000886
1891,0.000017,0.000956
1892,0.000015,0.000822
1893,0.000000,0.000790
1894,0.000000,0.000797
1895,0.000000,0.000806
1896,0.000017,0.000699
1897,0.000000,0.000674
1898,0.000000,0.000679
1899,0.000000,0.000513
1900,0.000000,0.000442
1901,0.000000,0.000451
1902,0.000000,0.000496
1903,0.000000,0.000435
1904,0.000000,0.000399
1905,0.000000,0.000406
1906,0.000000,0.000404
1907,0.000000,0.000365
1908,0.000000,0.000362
1909,0.000000,0.000352
1910,0.000000,0.000339
1911,0.000000,0.000354
1912,0.000000,0.000403
1913,0.000000,0.000448
1914,0.000005,0.000422
1915,0.000003,0.000422
1916,0.000003,0.000372
1917,0.000005,0.000400
1918,0.000002,0.000335
1919,0.000003,0.000282
1920,0.000003,0.000280
1921,0.000002,0.000274
1922,0.000000,0.000274
1923,0.000003,0.000249
1924,0.000000,0.000254
1925,0.000003,0.000231
1926,0.000000,0.000213
1927,0.000003,0.000218
1928,0.000000,0.000207
1929,0.000005,0.000209
1930,0.000000,0.000197
1931,0.000000,0.000173
1932,0.000000,0.000169
1933,0.000000,0.000161
1934,0.000000,0.000153
1935,0.000000,0.000138
1936,0.000000,0.000133
1937,0.000000,0.000129
1938,0.000000,0.000122
1939,0.000000,0.000102
1940,0.000000,0.000099
1941,0.000000,0.000088
1942,0.000000,0.000084
1943,0.000000,0.000069
1944,0.000000,0.000065
1945,0.000000,0.000066
1946,0.000000,0.000057
1947,0.000000,0.000049
1948,0.000000,0.000050
1949,0.000000,0.000049
1950,0.000000,0.000043
1951,0.000000,0.000040
1952,0.000000,0.000039
1953,0.000000,0.000044
1954,0.000000,0.000038
1955,0.000000,0.000034
1956,0.000000,0.000039
1957,0.000000,0.000036
1958,0.000000,0.000036
1959,0.000000,0.000036
1960,0.000000,0.000034
1961,0.000000,0.000034
1962,0.000000,0.000030
1963,0.000000,0.000032
1964,0.000000,0.000031
1965,0.000000,0.000024
1966,0.000000,0.000032
1967,0.000000,0.000032
1968,0.000000,0.000025
1969,0.000000,0.000023
1970,0.000000,0.000026
1971,0.000000,0.000027
1972,0.000000,0.000027
1973,0.000000,0.000018
1974,0.000000,0.000024
1975,0.000000,0.000022
1976,0.000000,0.000021
1977,0.000000,0.000019
1978,0.000000,0.000019
1979,0.000000,0.000020
1980,0.000000,0.000015
1981,0.000000,0.000016
1982,0.000000,0.000017
1983,0.000000,0.000016
1984,0.000000,0.000013
1985,0.000000,0.000017
1986,0.000000,0.000017
1987,0.000000,0.000015
1988,0.000000,0.000018
1989,0.000000,0.000016
1990,0.000000,0.000018
1991,0.000000,0.000013
1992,0.000000,0.000014
1993,0.000000,0.000017
1994,0.000000,0.000017
1995,0.000000,0.000013
1996,0.000000,0.000019
1997,0.000000,0.000014
1998,0.000000,0.000020
1999,0.000000,0.000018
2000,0.000000,0.000016
2001,0.000000,0.000024
2002,0.000000,0.000024
2003,0.000000,0.000026
2004,0.000000,0.000030
2005,0.000000,0.000033
2006,0.000000,0.000034
2007,0.000000,0.000036
2008,0.000000,0.000035
2009,0.000000,0.000045
2010,0.000000,0.000049
2011,0.000000,0.000058
2012,0.000000,0.000079
2013,0.000000,0.000094
2014,0.000000,0.000113
2015,0.000000,0.000142
2016,0.000000,0.000153
2017,0.000000,0.000173
2018,0.000000,0.000202
2019,0.000000,0.000207
2020,0.000000,0.000238
