year,Oneta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,6
1897,0
1898,5
1899,6
1900,5
1901,12
1902,0
1903,7
1904,0
1905,12
1906,10
1907,8
1908,5
1909,13
1910,14
1911,6
1912,11
1913,22
1914,28
1915,56
1916,45
1917,59
1918,43
1919,60
1920,60
1921,48
1922,68
1923,43
1924,58
1925,59
1926,48
1927,40
1928,54
1929,24
1930,38
1931,22
1932,25
1933,45
1934,26
1935,27
1936,29
1937,19
1938,22
1939,20
1940,25
1941,21
1942,10
1943,17
1944,10
1945,13
1946,14
1947,9
1948,13
1949,5
1950,10
1951,11
1952,10
1953,10
1954,7
1955,8
1956,6
1957,7
1958,7
1959,7
1960,8
1961,5
1962,7
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,6
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
