year,Olden
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,5
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,8
1909,0
1910,0
1911,0
1912,7
1913,9
1914,8
1915,9
1916,13
1917,12
1918,22
1919,12
1920,16
1921,14
1922,17
1923,22
1924,15
1925,15
1926,0
1927,10
1928,11
1929,12
1930,14
1931,10
1932,6
1933,9
1934,9
1935,11
1936,9
1937,8
1938,10
1939,7
1940,6
1941,8
1942,12
1943,0
1944,5
1945,10
1946,0
1947,7
1948,10
1949,10
1950,5
1951,7
1952,17
1953,7
1954,5
1955,7
1956,6
1957,0
1958,8
1959,6
1960,8
1961,0
1962,6
1963,5
1964,7
1965,9
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
